
name	  leo
health 	 150
speed	 13
running	22	4	2	1	1
type	  player
riseinv 1
makeinv 4
mp          100
shadow	  0
gfxshadow 1
icon	  data/chars/leo/icon.gif
diesound    data/sounds/new/whimper.wav # data/sounds/marvel/sysdown.wav
weapons	none none none none none none
palette	data/chars/leo/idle1.gif

#remap	data/chars/gillius/idle1.gif	data/chars/gillius/alt1.gif
#remap	data/chars/gillius/idle1.gif	data/chars/gillius/alt2.gif

COM A2 freespecial2

#done//
anim idle
drawmethod  170 200
	loop	1
	offset        91 123
	bbox 	23 11 41 91
	delay	18
	frame	data/chars/leo/idle1.gif
	offset        92 123
	frame	data/chars/leo/idle2.gif
	offset        93 124
	frame	data/chars/leo/idle3.gif
	offset        93 125
	frame	data/chars/leo/idle4.gif
	offset        94 126
	frame	data/chars/leo/idle5.gif
	offset        95 126
	frame	data/chars/leo/idle6.gif
	offset        94 126
	frame	data/chars/leo/idle7.gif
	offset        95 126
	frame	data/chars/leo/idle6.gif
	offset        94 126
	frame	data/chars/leo/idle5.gif
	offset        93 125
	frame	data/chars/leo/idle4.gif
	offset        93 124
	frame	data/chars/leo/idle3.gif
	offset        92 123
	frame	data/chars/leo/idle2.gif


	

#done//
anim walk
drawmethod  170 200
	loop	1
	offset  61 116
	bbox 	25 8 38 97
	delay	9
	frame	data/chars/leo/walk1.gif
	offset  60 114
	frame	data/chars/leo/walk2.gif
	offset  55 109
	frame	data/chars/leo/walk3.gif
	offset  42 114
	frame	data/chars/leo/walk4.gif
	offset  33 114
	frame	data/chars/leo/walk5.gif
	offset  41 114
	frame	data/chars/leo/walk6.gif
	offset  51 105
	frame	data/chars/leo/walk7.gif
	offset  63 106
	frame	data/chars/leo/walk8.gif
	offset  89 107
	frame	data/chars/leo/walk9.gif
	offset  60 106
	frame	data/chars/leo/walk10.gif
	offset  46 113
	frame	data/chars/leo/walk11.gif
	offset  32 113
	frame	data/chars/leo/walk12.gif
	offset  41 113
	frame	data/chars/leo/walk13.gif
	offset  51 109
	frame	data/chars/leo/walk14.gif


anim run
drawmethod  170 200
	loop	1
	offset  61 116
	bbox 	25 8 38 97
	delay	8
	frame	data/chars/leo/walk1.gif
	offset  60 114
	frame	data/chars/leo/walk2.gif
	offset  55 109
	frame	data/chars/leo/walk3.gif
	offset  42 114
	frame	data/chars/leo/walk4.gif
	offset  33 114
	frame	data/chars/leo/walk5.gif
	offset  41 114
	frame	data/chars/leo/walk6.gif
	offset  51 105
	frame	data/chars/leo/walk7.gif
	offset  63 106
	frame	data/chars/leo/walk8.gif
	offset  89 107
	frame	data/chars/leo/walk9.gif
	offset  60 106
	frame	data/chars/leo/walk10.gif
	offset  46 113
	frame	data/chars/leo/walk11.gif
	offset  32 113
	frame	data/chars/leo/walk12.gif
	offset  41 113
	frame	data/chars/leo/walk13.gif
	offset  51 109
	frame	data/chars/leo/walk14.gif


anim runattack
drawmethod  170 200
	range	5 90
	loop	0
	delay	6
	move	10
	offset	110 154
              bbox       37 35 35 88
	sound	data/sounds/swish.wav
	frame	data/chars/leo/3atk1.gif
	offset	92 138
	frame	data/chars/leo/3atk2.gif
	offset	84 118
	frame	data/chars/leo/3atk3.gif
	offset	98 127
	frame	data/chars/leo/3atk4.gif
	offset	100 124
	frame	data/chars/leo/3atk5.gif
	offset	113 123
	frame	data/chars/leo/3atk6.gif
	offset	37 94
              attack	51 2 146 122 25 1 0 0 25
	frame	data/chars/leo/3atk7.gif
	offset	30 85
	frame	data/chars/leo/3atk8.gif
              attack	0 0 0 0 0
	offset	28 84
	frame	data/chars/leo/3atk9.gif
	offset	31 89
	frame	data/chars/leo/3atk10.gif



#done
anim get
drawmethod  170 200
	loop	0
	delay	10
	offset	50 90
	frame	data/chars/leo/rise5.gif
	offset	77 69
	frame	data/chars/leo/rise4.gif
	offset	50 90
	frame	data/chars/leo/rise5.gif


#done//
#Punch
anim attack1
drawmethod  170 200
	range	5 40
	loop	0
	delay	5
	offset	85 145
	bbox	41 11 31 93
	sound	data/sounds/swish.wav
	frame	data/chars/leo/2atk1.gif
	offset	136 104
	frame	data/chars/leo/2atk2.gif
	offset	37 100
        attack	71 3 84 67 15 0 0 0 10
	frame	data/chars/leo/2atk3.gif
	offset	93 101
	frame	data/chars/leo/2atk4.gif
	offset	82 100
                  bbox          57 10 37 95
	    frame	data/chars/leo/2atk5.gif
              attack	0 0 0 0 0
	offset	49 141
                  frame	data/chars/leo/2atk6.gif


anim attack2
drawmethod  170 200
	range	5 50
	loop	0
	delay	3
	offset	66 149
	bbox	34 18 37 94
	sound	data/sounds/swish.wav
	frame	data/chars/leo/atk1.gif
