music		data/music/worth.bor

palette	data/bgs/dragons/hydra/n01.gif

background	data/bgs/dragons/hydra/n01.gif

panel	data/bgs/dragons/hydra/n01.gif none none

frontpanel data/bgs/dragons/hydra/f01.gif none none

order	        a



#---------------------

#spawn	sandbg
#flip	1
#coords	1 120
#at	0

#spawn	sandfg
#flip	1
#coords	0 244
#at	0

#scrollz 78 244
#at	1

spawn	ork
map	1
coords	350 160
at	300

spawn	3ork1
map	2
coords	350 170
at	300

spawn	casket2
item	spotion
coords	330 170
at	350

spawn   Hydra
map	1
alias   Hydra_Head
health  500
boss 1
coords  380 140
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  370 160
at      1950

group	4 4
at	1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  360 130
at      1950


spawn   Hydra
map	1
alias   Hydra_Head
health  50
coords  390 120
at      1950

spawn   Hydra
map	2
alias   Hydra_Head
health  50
coords  370 160
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  350 150
at      1950

spawn   Hydra
map	3
alias   Hydra_Head
health  50
coords  360 130
at      1950

