name	rat_
health	350
speed	6
type	enemy
gfxshadow 1
icon	   data/chars/rat_/icon.gif
iconpain   data/chars/rat_/iconP.gif
icondie    data/chars/rat_/iconD.gif
nodrop	1
grabdistance   40
dust   dust
candamage Enemy Player

anim respawn
	loop	0
	offset	90 192
	delay	5
        sound   data/sounds/spawn.wav
	frame	data/chars/rat_/idle.gif


anim idle
	loop	1
	offset	90 192
	bbox	70 95 50 90
	delay	15
	frame	data/chars/rat_/idle.gif
	frame	data/chars/rat_/idle.gif
	frame	data/chars/rat_/idle.gif
	frame	data/chars/rat_/idle.gif
	frame	data/chars/rat_/idle.gif
	delay	9
        sound   data/chars/rat_/idle.wav
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle2.gif
	frame	data/chars/rat_/idle.gif





anim walk
	loop	1
	offset	90 192
	bbox	70 95 50 90
	delay   11
	frame	data/chars/rat_/w1.gif
	frame	data/chars/rat_/w2.gif
	frame	data/chars/rat_/w3.gif
	frame	data/chars/rat_/idle2.gif


anim jump
	loop	0
	range   75  70
	offset	90 192
	bbox	70 95 50 90
	delay   11
	frame	data/chars/rat_/w1.gif
	frame	data/chars/rat_/w1.gif
	frame	data/chars/rat_/w1.gif

anim pain
	loop	0
	delay	6
	offset	90 192
	bbox	70 95 50 90
        sound   data/chars/rat_/pain.wav
        move    0
	frame	data/chars/rat_/pain.gif
	offset  87 192
	frame	data/chars/rat_/pain.gif
	offset  89 192
	delay   40
	frame	data/chars/rat_/pain.gif

anim spain
	loop	0
	delay	6
	offset	90 192
	bbox	70 95 50 90
        sound   data/chars/rat_/pain.wav
	frame	data/chars/rat_/pain.gif
	offset  87 192
	frame	data/chars/rat_/pain.gif
	offset  89 192
	delay   40
	frame	data/chars/rat_/pain.gif

anim grabbed
	loop	0
	delay	6
	offset	90 192
	bbox	70 95 50 90
	frame	data/chars/rat_/pain.gif
	offset  87 192
	frame	data/chars/rat_/pain.gif
	offset  89 192
	delay   40
	frame	data/chars/rat_/pain.gif

anim bpain
	loop	0
	delay	6
	offset	90 192
	bbox	65 102 46 76
        sound   data/chars/rat_/pain.wav
	frame	data/chars/rat_/fall4.gif
	offset  87 192
	frame	data/chars/rat_/fall4.gif
	offset  89 192
	frame	data/chars/rat_/fall4.gif
	offset  87 192
	frame	data/chars/rat_/fall4.gif
	offset  89 192
	frame	data/chars/rat_/fall4.gif
	offset  87 192
	frame	data/chars/rat_/fall4.gif
	offset  89 192
	frame	data/chars/rat_/fall4.gif
	offset  87 192
	frame	data/chars/rat_/fall4.gif
	offset  89 192
	delay   50
	frame	data/chars/rat_/fall4.gif

anim fall
	loop	0
	offset	90 192
	delay   30
        sound   data/chars/rat_/fall.wav
	frame	data/chars/rat_/fall1.gif
	attack  85 125 25 50 5 1
	frame	data/chars/rat_/fall1.gif
