name	soul
health	100
speed	10
type	enemy
shadow	4
icon	data/chars/soul/icon.gif
diesound data/sounds/die1.wav


remap	data/chars/soul/stand.gif data/chars/soul/alt1.gif
remap	data/chars/soul/stand.gif data/chars/soul/alt2.gif
remap	data/chars/soul/stand.gif data/chars/soul/alt3.gif
remap	data/chars/soul/stand.gif data/chars/soul/alt4.gif
remap	data/chars/soul/stand.gif data/chars/soul/alt5.gif

anim idle
	loop	1
	offset	30 115
	bbox	17 5 31 106
	delay	8
	frame	data/chars/soul/idle1.gif
	frame	data/chars/soul/idle2.gif
	frame	data/chars/soul/idle3.gif
	frame	data/chars/soul/idle4.gif
	frame	data/chars/soul/idle5.gif
	frame	data/chars/soul/idle6.gif
	frame	data/chars/soul/idle7.gif
	frame	data/chars/soul/idle8.gif
	frame	data/chars/soul/idle9.gif
	frame	data/chars/soul/idle10.gif
	frame	data/chars/soul/idle11.gif
	frame	data/chars/soul/idle12.gif
	frame	data/chars/soul/idle13.gif
				
anim walk
	loop	1
	offset	30 117
	bbox	15 6 30 104
	delay	10
	frame	data/chars/soul/walk1.gif
	frame	data/chars/soul/walk2.gif
	frame	data/chars/soul/walk3.gif
	frame	data/chars/soul/walk4.gif
	frame	data/chars/soul/walk5.gif
	frame	data/chars/soul/walk6.gif
	frame	data/chars/soul/walk7.gif
	frame	data/chars/soul/walk8.gif
	
anim pain
	loop	0
	offset	30 115
	bbox	19 5 31 109
	delay	12
	frame	data/chars/soul/pain1.gif
	frame	data/chars/soul/pain2.gif
	frame	data/chars/soul/pain3.gif
	
anim fall
	loop	0
	delay	35
	offset	49 78
	frame	data/chars/soul/fall1.gif
	attack	28 31 76 60 15 1
	frame	data/chars/soul/fall2.gif
	attack	0 0 0 0 0
	frame	data/chars/soul/fall3.gif
	
anim rise
	loop	0
	delay	8
	offset	47 116
	frame	data/chars/soul/rise1.gif
	frame	data/chars/soul/rise2.gif
	frame	data/chars/soul/rise3.gif
	offset	59 124
	frame	data/chars/soul/rise4.gif
	frame	data/chars/soul/rise5.gif
		
anim attack1
	range	20 150
	loop	0
	delay	5
	offset	35 114
	bbox	16 17 51 95
	frame	data/chars/soul/atk101.gif
	frame	data/chars/soul/atk102.gif
	attack	64 10 54 13 5
	frame	data/chars/soul/atk103.gif
	frame	data/chars/soul/atk104.gif
	frame	data/chars/soul/atk105.gif
	frame	data/chars/soul/atk106.gif
	attack	0 0 0 0 0
	
anim attack2
	range	1 80
	loop	0
	delay	10
	offset	40 115
	bbox	26 10 38 101
	frame	data/chars/soul/atk201.gif
	frame	data/chars/soul/atk202.gif
	frame	data/chars/soul/atk203.gif
	attack	54 11 71 37 10 0
	frame	data/chars/soul/atk204.gif
	frame	data/chars/soul/atk205.gif
	frame	data/chars/soul/atk206.gif
	attack	0 0 0 0 0
	frame	data/chars/soul/atk207.gif
	frame	data/chars/soul/atk208.gif
	frame	data/chars/soul/atk201.gif
