name	Kagome
health	70
speed	7
type	enemy
shadow	4
diesound 	data/chars/kagome/die.wav
icon	data/chars/kagome/icon.png
load    arrow
aimove wander
alternatepal    data/chars/kagome/pal1.png
alternatepal    data/chars/kagome/pal2.png 
alternatepal    data/chars/kagome/pal3.png 
takedamagescript data/scripts/enemyhit.c






anim	attack1
	sound	data/chars/kagome/arrow.wav
	loop	0
	delay	3
	bbox	25 5 49 77
	offset	49 83
	range	50 250
	custknife	arrow
	shootframe	13
	frame	data/chars/kagome/attack2_1000-0.png
	bbox	25 5 49 77
	offset	49 84
	frame	data/chars/kagome/attack2_1000-1.png
	bbox	-5 5 49 77
	offset	18 85
	frame	data/chars/kagome/attack2_1000-2.png
	bbox	-5 5 49 77
	offset	17 90
	frame	data/chars/kagome/attack2_1000-3.png
	bbox	-5 5 49 77
	offset	17 90
	frame	data/chars/kagome/attack2_1000-4.png
	bbox	-5 11 49 77
	offset	19 95
	frame	data/chars/kagome/attack2_1000-5.png
	bbox	1 17 49 77
	offset	22 103
	frame	data/chars/kagome/attack2_1000-6.png
	bbox	0 17 49 77
	offset	22 103
	frame	data/chars/kagome/attack2_1000-7.png
	bbox	2 17 49 77
	offset	22 103
	frame	data/chars/kagome/attack2_1000-8.png
	bbox	2 17 49 77
	offset	24 103
	frame	data/chars/kagome/attack2_1000-9.png
	bbox	2 23 49 77
	offset	26 107
	frame	data/chars/kagome/attack2_1000-10.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-11.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-12.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-13.png
	bbox	2 23 49 77
	offset	28 108
	frame	data/chars/kagome/attack2_1000-14.png
	bbox	2 23 49 77
	offset	28 108
	frame	data/chars/kagome/attack2_1000-15.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-16.png
	bbox	2 23 49 77
	offset	26 108
	frame	data/chars/kagome/attack2_1000-17.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-18.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-19.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-20.png
	bbox	2 23 49 77
	offset	28 108
	frame	data/chars/kagome/attack2_1000-21.png
	bbox	2 23 49 77
	offset	28 108
	frame	data/chars/kagome/attack2_1000-22.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-23.png
	bbox	2 23 49 77
	offset	26 108
	frame	data/chars/kagome/attack2_1000-24.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-25.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-26.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-27.png
	bbox	2 23 49 77
	offset	28 108
	frame	data/chars/kagome/attack2_1000-28.png
	bbox	2 23 49 77
	offset	28 108
	frame	data/chars/kagome/attack2_1000-29.png
	bbox	2 23 49 77
	offset	27 108
	frame	data/chars/kagome/attack2_1000-30.png
	bbox	2 12 49 77
	offset	20 98
	frame	data/chars/kagome/attack2_1000-31.png
	bbox	2 9 49 77
	offset	18 93
	frame	data/chars/kagome/attack2_1000-32.png
	bbox	2 9 49 77
	offset	18 90
	frame	data/chars/kagome/attack2_1000-33.png
	bbox	-6 5 49 77
	offset	18 85
	frame	data/chars/kagome/attack2_1000-34.png
	bbox	24 5 49 77
	offset	48 84
	frame	data/chars/kagome/attack2_1000-35.png
		
anim	attack2
	sound	data/chars/kagome/kiai1.wav
	loop	0
	delay	3
	bbox	0 6 48 78
	offset	21 84
	frame	data/chars/kagome/attack1_208-0.png
	bbox	0 6 48 78
	offset	21 84
	frame	data/chars/kagome/attack1_208-1.png
	bbox	-4 11 48 78
	offset	21 92
	frame	data/chars/kagome/attack1_208-2.png
	bbox	-4 11 48 78
	offset	24 92
	frame	data/chars/kagome/attack1_208-3.png
	bbox	6 15 48 78
	offset	32 96
	frame	data/chars/kagome/attack1_208-4.png
	attack	60 7 31 74 7 1 1 0 0 0
	bbox	10 6 48 78
	offset	33 86
	frame	data/chars/kagome/attack1_208-5.png
	attack	60 7 31 74 7 1 0 1 0 0
	bbox	10 6 48 78
	offset	34 86
	frame	data/chars/kagome/attack1_208-6.png
	attack	60 7 31 74 7 1 1 0 0 0
	bbox	10 6 48 78
	offset	34 86
	frame	data/chars/kagome/attack1_208-7.png
	attack	60 7 31 74 7 1 0 1 0 0
	bbox	10 6 48 78
	offset	34 86
	frame	data/chars/kagome/attack1_208-8.png
	attack	60 7 31 74 7 1 1 0 0 0
	bbox	10 6 48 78
	offset	33 86
	frame	data/chars/kagome/attack1_208-9.png
	attack	60 7 31 74 7 1 0 1 0 0
	bbox	10 6 48 78
	offset	32 86
	frame	data/chars/kagome/attack1_208-10.png
	bbox	10 6 48 78
	offset	25 89
	frame	data/chars/kagome/attack1_208-11.png
	bbox	10 6 48 78
	offset	25 92
	frame	data/chars/kagome/attack1_208-12.png
	bbox	-2 6 48 78
	offset	25 90
	frame	data/chars/kagome/attack1_208-13.png
	bbox	-2 6 48 78
	offset	23 86
	frame	data/chars/kagome/attack1_208-14.png
	bbox	-2 6 48 78
	offset	23 86
	frame	data/chars/kagome/attack1_208-15.png
	bbox	-2 6 48 78
	offset	23 83
	frame	data/chars/kagome/attack1_208-16.png
	bbox	18 3 48 78
	offset	42 83
	frame	data/chars/kagome/attack1_208-17.png
		
anim	fall
	sound	data/chars/kagome/pain.wav
	loop	0
	delay	5
	offset	142 194
	bbox	28 4 49 76
	frame	data/chars/kagome/fall_5030-0.png
	offset	142 194
	frame	data/chars/kagome/fall_5030-10.png
	offset	142 194
	frame	data/chars/kagome/fall_5030-20.png
	offset	207 279
	frame	data/chars/kagome/fall_5030-30.png
	offset	212 299
	frame	data/chars/kagome/fall_5030-31.png
	offset	194 282
	frame	data/chars/kagome/fall_5030-40.png
	offset	157 233
	frame	data/chars/kagome/fall_5030-50.png
	offset	141 188
	frame	data/chars/kagome/fall_5040-20.png
	offset	141 188
	frame	data/chars/kagome/fall_5040-1.png
	offset	141 209
	frame	data/chars/kagome/fall_5040-10.png
	offset	141 210
	frame	data/chars/kagome/fall_5040-11.png
	offset	141 195
	frame	data/chars/kagome/fall_5040-0.png
		
anim	idle
	loop	1
	delay	6
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-0.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-1.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-2.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-3.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-4.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-5.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-6.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-7.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-8.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-9.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-10.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-11.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-12.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-13.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-14.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-15.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-16.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-17.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-18.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-19.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-20.png
	bbox	28 4 49 76
	offset	49 82
	frame	data/chars/kagome/idle_0-21.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-22.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-23.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-24.png
	bbox	28 4 49 76
	offset	49 83
	frame	data/chars/kagome/idle_0-25.png
		
anim	pain
	sound	data/chars/kagome/pain.wav
	loop	0
	delay	4
	bbox	90 136 76 70
	offset	128 210
	frame	data/chars/kagome/pain_5000-0.png
	bbox	90 136 76 70
	offset	128 210
	frame	data/chars/kagome/pain_5000-10.png
	bbox	90 136 76 70
	offset	128 210
	frame	data/chars/kagome/pain_5000-20.png
	bbox	90 136 76 70
	offset	128 210
	frame	data/chars/kagome/pain_5000-21.png
	bbox	90 136 76 70
	offset	128 210
	frame	data/chars/kagome/pain_5000-22.png
	bbox	90 136 76 70
	offset	128 210
	frame	data/chars/kagome/pain_5000-23.png
	bbox	90 136 76 70
	offset	128 210
	frame	data/chars/kagome/pain_5000-24.png
	bbox	90 136 76 70
	offset	128 210
	frame	data/chars/kagome/pain_5000-25.png
		
anim	rise
	loop	0
	delay	5
	offset	138 195
	frame	data/chars/kagome/rise_5040-0.png
	offset	138 213
	frame	data/chars/kagome/rise_5040-70.png
	offset	138 213
	frame	data/chars/kagome/rise_5040-71.png
	offset	138 212
	frame	data/chars/kagome/rise_5040-72.png
	offset	134 214
	frame	data/chars/kagome/rise_5040-73.png
	offset	132 213
	frame	data/chars/kagome/rise_5040-74.png
	offset	132 211
	frame	data/chars/kagome/rise_5040-75.png
	offset	132 211
	frame	data/chars/kagome/rise_5040-76.png
	offset	132 210
	frame	data/chars/kagome/rise_5040-77.png
	offset	132 211
	frame	data/chars/kagome/rise_5040-78.png
	offset	132 210
	frame	data/chars/kagome/rise_5040-79.png
	offset	132 210
	frame	data/chars/kagome/rise_5040-80.png
	offset	143 209
	frame	data/chars/kagome/rise_5040-81.png
	offset	49 83
	frame	data/chars/kagome/rise_5040-82.png
		
anim	walk
	loop	1
	delay	6
	bbox	24 3 47 79
	offset	48 85
	frame	data/chars/kagome/walk_20-0.png
	bbox	24 3 47 79
	offset	49 85
	frame	data/chars/kagome/walk_20-1.png
	bbox	24 3 47 79
	offset	48 85
	frame	data/chars/kagome/walk_20-2.png
	bbox	15 3 47 79
	offset	40 85
	frame	data/chars/kagome/walk_20-3.png
	bbox	15 3 47 79
	offset	39 85
	frame	data/chars/kagome/walk_20-4.png
	bbox	12 3 47 79
	offset	37 85
	frame	data/chars/kagome/walk_20-5.png
	bbox	10 3 47 79
	offset	34 85
	frame	data/chars/kagome/walk_20-6.png
	bbox	3 3 47 79
	offset	27 85
	frame	data/chars/kagome/walk_20-7.png
	bbox	3 3 47 79
	offset	28 85
	frame	data/chars/kagome/walk_20-8.png
	bbox	3 3 47 79
	offset	32 85
	frame	data/chars/kagome/walk_20-9.png
	bbox	9 3 47 79
	offset	34 85
	frame	data/chars/kagome/walk_20-10.png
	bbox	10 3 47 79
	offset	35 85
	frame	data/chars/kagome/walk_20-11.png
	bbox	10 3 47 79
	offset	34 85
	frame	data/chars/kagome/walk_20-12.png
	bbox	4 3 47 79
	offset	28 85
	frame	data/chars/kagome/walk_20-13.png
	bbox	4 3 47 79
	offset	33 85
	frame	data/chars/kagome/walk_20-14.png
	bbox	9 3 47 79
	offset	36 85
	frame	data/chars/kagome/walk_20-15.png
	bbox	17 3 47 79
	offset	40 85
	frame	data/chars/kagome/walk_20-16.png
	bbox	17 3 47 79
	offset	41 85
	frame	data/chars/kagome/walk_20-17.png
	bbox	23 3 47 79
	offset	45 85
	frame	data/chars/kagome/walk_20-18.png
	bbox	23 3 47 79
	offset	46 85
	frame	data/chars/kagome/walk_20-19.png
		
#|edited by openBor Stats v 0.67
		
