name		Axel
gfxshadow	1
health		100
mp		50
projectilehit 	obstacle enemy
speed		8
type		player
shadow		4
jumpheight 	3.5
makeinv		3
riseinv		1 1
risetime		130
grabdistance	22
throwdamage	30
dust		dust
running		13 3.6 1.6 1 0
icon		data/chars/axel/axel1.gif
diesound	data/sounds/axeldie.wav
takedamagescript	data/scripts/tdamage/player.c
animationscript	data/scripts/axel.c
script		data/scripts/main/axel.c
onspawnscript	data/scripts/spawn/axel.c

weapons	axe2 axe3 axe4 axe5 axe6 axel

#remap data/chars/axel/idle02.gif data/chars/axel/alt2.gif
#remap data/chars/axel/idle01.gif data/chars/axel/alt1.gif
#remap data/chars/axel/idle01.gif data/chars/axel/alt3.gif
#remap data/chars/axel/idle02.gif data/chars/axel/alt4.gif
#remap data/chars/axel/idle02.gif data/chars/axel/alter.gif

com	d u a freespecial6
com	a2 freespecial
com	d d a freespecial7
com	u u a freespecial8


anim 	waiting

	unsummonframe	0
	subentity	select
	summonframe	1 60 22 0 1
	
	loop	1
	delay	1
	offset	35 81
	frame	data/chars/axel/idle02.gif
	delay	17
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	delay	22
	frame	data/chars/axel/idle05.gif
	delay	27
	frame	data/chars/axel/idle06.gif
	delay	19
	frame	data/chars/axel/idle01.gif


anim 	select

	delay	17
	offset	35 81
	bbox	19 17 35 66

	frame	data/chars/axel/idle02.gif


anim 	idle
	loop	1
	delay	17
	offset	35 81
	@cmd	clearL
	bbox	19 17 35 66

	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	delay	22
	frame	data/chars/axel/idle05.gif
	delay	27
	frame	data/chars/axel/idle06.gif
	delay	19
	frame	data/chars/axel/idle01.gif


anim	attackup
	jumpframe	1 0 0 -1
	delay	11
	offset	23 60
	frame	data/chars/axel/ee1.gif
	frame	data/chars/axel/ee2.gif
	frame	data/chars/axel/ee3.gif
	frame	data/chars/axel/ee4.gif

anim	attackdown
	jumpframe	1 0 0 1
	delay	11
	offset	23 60
	frame	data/chars/axel/ee1.gif
	frame	data/chars/axel/ee2.gif
	frame	data/chars/axel/ee3.gif
	frame	data/chars/axel/ee4.gif

anim 	grabbed
	offset	21 62
	bbox	8 4 29 58
	delay	7
	frame	data/chars/axel/grabbed.gif

anim 	walk
	loop	1
	delay	16
	offset	25 77
	bbox	6 3 42 77
	frame	data/chars/axel/walk1.gif
	frame	data/chars/axel/walk2.gif
	frame	data/chars/axel/walk3.gif
	frame	data/chars/axel/walk4.gif
	frame	data/chars/axel/walk5.gif
	frame	data/chars/axel/walk6.gif


anim 	get
	delay	25
	offset	23 56
	frame	data/chars/axel/get.gif

anim	land
	loop	0
	delay	25
	offset	17 62
	sound	data/sounds/land.wav
	frame	data/chars/axel/safe.gif

anim	run
	loop	1
	delay	15
	offset	41 74
	bbox	31 10 31 67
	frame	data/chars/axel/run1.gif
	frame	data/chars/axel/run2.gif
	frame	data/chars/axel/run3.gif
	frame	data/chars/axel/run4.gif
	frame	data/chars/axel/run5.gif
	frame	data/chars/axel/run6.gif

anim	jump
	delay	13
	offset	32 80
	bbox	25 33 24 50
	frame	data/chars/axel/jump4.gif
	delay	20
	bbox	18 4 39 75
	frame	data/chars/axel/jump2.gif
	bbox	15 4 34 84
	frame	data/chars/axel/jump3.gif
	delay	25
	bbox	18 4 39 75
	frame	data/chars/axel/jump2.gif
	delay	3
	bbox	25 33 24 50
	sound	data/sounds/land.wav
	frame	data/chars/axel/jump4.gif

anim 	jumpforward
	loop	0
	delay	7
	offset	27 72
	bbox	3 6 46 77
	sound	data/sounds/axgrunt.wav
	frame	data/chars/axel/jk1.gif
	attack	27 50 52 21 10 1 0 0 13
	bbox	3 21 72 49
	frame	data/chars/axel/jk2.gif

anim 	grab
	cancel	0 1 0 d u a freespecial6
	delay	1000
	offset	38 84
	bbox	19 10 38 76
	frame	data/chars/axel/grab1.gif

anim	rise
	loop	0
	offset	36 53
	delay	11
	frame	data/chars/axel/getup1.gif
	delay	17
	offset	47 36
