name		Axel.C
gfxshadow 1
health		270
projectilehit 	obstacle enemy
Aggression	10
speed		13
type		Enemy
shadow		4
jumpheight 	3.5
riseinv		1 1
risetime	130
grabdistance	22
throwdamage	30
grabfinish	1
dust		dust
death		2
diesound	data/sounds/axeldie.wav
animationscript	data/scripts/eaxel.c
subject_to_obstacle	0

remap data/chars/axel/idle02.gif data/chars/axel/alt2.gif
remap data/chars/axel/idle01.gif data/chars/axel/alt1.gif
remap data/chars/axel/idle01.gif data/chars/axel/alt3.gif
remap data/chars/axel/idle02.gif data/chars/axel/alt4.gif
remap data/chars/axel/idle02.gif data/chars/axel/alter.gif

anim 	idle
	loop	1
	delay	15
	@cmd	clearL
	offset	35 81
	bbox	19 17 35 66
	frame	data/chars/axel/idle02.gif
	frame	data/chars/axel/idle03.gif
	frame	data/chars/axel/idle04.gif
	frame	data/chars/axel/idle01.gif

anim	grabbed
	offset	21 62
	bbox	8 4 29 58
	delay	7
	frame	data/chars/axel/grabbed.gif

anim 	walk
	loop	1
	delay	12
	offset	25 77
	bbox	6 3 42 77
	frame	data/chars/axel/walk1.gif
	frame	data/chars/axel/walk2.gif
	frame	data/chars/axel/walk3.gif
	frame	data/chars/axel/walk4.gif
	frame	data/chars/axel/walk5.gif
	frame	data/chars/axel/walk6.gif

anim	rise
	delay	11
	offset	36 53
	frame	data/chars/axel/getup1.gif
	frame	data/chars/axel/getup2.gif

anim	pain

	delay	5
	
	offset	23 82
	bbox	6 13 38 72
	frame	data/chars/axel/pain1.gif
	offset	24 82
	frame	data/chars/axel/pain1.gif

	offset	23 82
	frame	data/chars/axel/pain1.gif
	offset	24 82
	frame	data/chars/axel/pain1.gif

	offset	23 82
	frame	data/chars/axel/pain1.gif
	offset	24 82
	frame	data/chars/axel/pain1.gif
	

anim	fall
	offset	35 53
	delay	45
	attack	4 8 69 48 12 1 0 0 50
	frame	data/chars/axel/fall1.gif
	offset	47 36
	attack	0
	frame	data/chars/axel/fall3.gif

anim	fall7
	delay	3000
	offset	23 82
	frame	data/chars/axel/pain1.gif
	offset	25 32
	frame	data/chars/axel/fallr1.gif
	offset	23 60
	frame	data/chars/axel/fallr2.gif
	offset	47 36
	frame	data/chars/axel/fall3.gif

anim	burn
	loop	1
	offset	29 63
	delay	5
	frame	data/chars/misc/burn/normal/burn1.gif
	frame	data/chars/misc/burn/normal/burn2.gif
	frame	data/chars/misc/burn/normal/burn3.gif

#-----------------------------------------------------------------------------------------------
anim	attack1
	range	5 80
	delay 	5
 	offset	58 125
 	bbox	45 69 37 57
	sound	data/sounds/grandu.wav
	hitfx	data/sounds/pu.wav

 	frame	data/chars/axel/spec01.gif
	
	@cmd	dasher 0.6 0 0
 	offset	58 125

	attack	45 71 51 55 5 0 0 0 13
	bbox	31 82 52 47
 	frame	data/chars/axel/spec02.gif
	Attack	0
	frame	data/chars/axel/spec02.gif

	Attack	45 71 51 55 5 0 0 0 13
 	frame	data/chars/axel/spec03.gif
	Attack	0
	frame	data/chars/axel/spec03.gif
	
	attack	45 71 51 55 4 0 0 0 13
	bbox	31 82 52 47
 	frame	data/chars/axel/spec02.gif
	Attack	0
	frame	data/chars/axel/spec02.gif

	Attack	45 71 51 55 4 0 0 0 13
 	frame	data/chars/axel/spec03.gif
	Attack	0
	frame	data/chars/axel/spec03.gif


	bbox	36 64 43 63
	attack	36 58 71 70 6 0 0 0 13
 	frame	data/chars/axel/spec06.gif
	attack	0
 	frame	data/chars/axel/spec06.gif

	@cmd	stop
 	attack	34 46 86 84 11 1 0 0 30
 	frame	data/chars/axel/spec07.gif
	attack	0
 	frame	data/chars/axel/spec07.gif

	attack	29 11 78 118 11 1 0 0 30
	bbox	34 51 38 77
 	frame	data/chars/axel/spec08.gif
	attack	0
	frame	data/chars/axel/spec08.gif
	attack	29 11 78 118 11 1 1 0 30
 	frame	data/chars/axel/spec09.gif
	attack	0
	delay	25
 	frame	data/chars/axel/spec010.gif

anim	attack2
	range	81 150
	hitfx	data/sounds/pu.wav
	sound	data/sounds/axgrunt.wav
	delay	8
	offset	39 61
	@cmd	dasher 0.5 0 0
	#bbox	26 3 20 57
	frame	data/chars/axel/aft01.gif
	@cmd	dasher 1 0 0
	frame	data/chars/axel/aft01.gif

	
	offset	16 60
	Attack	-4 15 33 36 15 0 0 0 40 16
	frame	data/chars/axel/aft02.gif
	
	offset	16 59
	Attack	8 15 74 41 15 0 0 0 40 16
	frame	data/chars/axel/aft03.gif

	delay	4
	offset	24 64
	Attack	6 8 68 36 15 0 0 0 40 16
	#bbox	15 1 24 63
