name	moriya
health	100
speed	9
type	enemy
shadow	5
icon	data/chars/moriya/icon.gif
diesound data/sounds/die1.wav

remap	data/chars/moriya/idle/1.gif data/chars/moriya/alt1.gif


anim idle
	loop	1
	delay	10
	offset	78 102
	bbox	10 5 34 94
	frame	data/chars/moriya/idle/1.gif
	frame	data/chars/moriya/idle/2.gif
	frame	data/chars/moriya/idle/3.gif
	frame	data/chars/moriya/idle/4.gif
	frame	data/chars/moriya/idle/5.gif
	frame	data/chars/moriya/idle/6.gif
	frame	data/chars/moriya/idle/7.gif
	frame	data/chars/moriya/idle/8.gif
	frame	data/chars/moriya/idle/9.gif
	frame	data/chars/moriya/idle/10.gif
	
anim walk
	loop	1
	delay	7
	offset	78 104
	bbox	57 18 46 85
	frame	data/chars/moriya/walk/1.gif
	frame	data/chars/moriya/walk/2.gif
	frame	data/chars/moriya/walk/3.gif
	frame	data/chars/moriya/walk/4.gif
	frame	data/chars/moriya/walk/5.gif
	frame	data/chars/moriya/walk/6.gif
	frame	data/chars/moriya/walk/7.gif
	frame	data/chars/moriya/walk/8.gif
	frame	data/chars/moriya/walk/9.gif
	frame	data/chars/moriya/walk/10.gif
	frame	data/chars/moriya/walk/11.gif
	frame	data/chars/moriya/walk/12.gif

anim pain
	loop	0
	offset	110 199
	bbox	74 103 58 97
	delay	15
	frame	data/chars/moriya/pain/1.gif
	offset	111 200
	frame	data/chars/moriya/pain/2.gif
	offset	110 199
	frame	data/chars/moriya/pain/1.gif

anim fall
	loop	0
	offset	108 105
	delay	4
	attack	32 22 39 41 10 1
	frame	data/chars/moriya/fall/1.gif
	attack	10 36 62 28 10 1
	frame	data/chars/moriya/fall/2.gif
	attack	11 35 74 23 10 1
	delay	50
	frame	data/chars/moriya/fall/3.gif
	attack	19 30 49 32 10 1
	frame	data/chars/moriya/fall/4.gif

anim rise
	loop	0
	offset	108 105
	delay	10
	frame	data/chars/moriya/rise/1.gif
	frame	data/chars/moriya/rise/2.gif
	frame	data/chars/moriya/rise/3.gif
	frame	data/chars/moriya/rise/4.gif
	frame	data/chars/moriya/rise/5.gif

anim attack1
	range	0 150	
	loop	0
	delay	7
	offset	63 148
	bbox	36 60 61 89
	frame	data/chars/moriya/attack1/1.gif
	frame	data/chars/moriya/attack1/2.gif
	frame	data/chars/moriya/attack1/3.gif
	attack	102 38 75 40 15
	frame	data/chars/moriya/attack1/4.gif
	frame	data/chars/moriya/attack1/5.gif
	frame	data/chars/moriya/attack1/6.gif
	frame	data/chars/moriya/attack1/7.gif
	frame	data/chars/moriya/attack1/8.gif
	frame	data/chars/moriya/attack1/9.gif
	frame	data/chars/moriya/attack1/10.gif
	attack	0 0 0 0 0
	frame	data/chars/moriya/attack1/11.gif
	frame	data/chars/moriya/attack1/12.gif
	frame	data/chars/moriya/attack1/13.gif

anim throw
	loop	0
	offset	56 114
	delay	7
	frame	data/chars/moriya/throw/1.gif
	frame	data/chars/moriya/throw/2.gif
	frame	data/chars/moriya/throw/3.gif
	frame	data/chars/moriya/throw/4.gif
	frame	data/chars/moriya/throw/5.gif
	frame	data/chars/moriya/throw/6.gif
	frame	data/chars/moriya/throw/7.gif
	frame	data/chars/moriya/throw/8.gif
	frame	data/chars/moriya/throw/9.gif
	frame	data/chars/moriya/throw/10.gif
	frame	data/chars/moriya/throw/11.gif
	frame	data/chars/moriya/throw/12.gif
	frame	data/chars/moriya/throw/13.gif







