name				dragy4
type				enemy
hostile				player npc
candamage			player npc
score				1540 -1
health				240
speed				11
shadow				6
#aironly				1
noquake				1
dust				dust01
flash				flash11
#noatflash			1
bflash				guard01
cantgrab			1
notgrab				1
jumpheight			2
antigravity			60
blockodds			1
thold				49
#risetime 1000
nodieblink			1
nodrop				1
falldie				1
escapehits			2
jugglepoints		15
icon				data/chars/dragy/bicon.gif 1
icondie				data/chars/dragy/bicond.gif 1
diesound			data/sounds/drags02.wav
nolife				1
takedamagescript	data/scripts/ndamage.c

#-------Boss
nolife				1
lifebarstatus		240 5 1 1 0 -300 -300 -300 -300
lifeposition		119 34 
nameposition		152 49
iconposition		0 0
#-------Boss

palette data/chars/dragy/dragy.gif #1

remap	data/chars/dragy/idle00.gif   data/chars/dragy/alter01.gif
remap	data/chars/dragy/idle00.gif   data/chars/dragy/alter02.gif
remap	data/chars/dragy/idle00.gif   data/chars/dragy/alter03.gif
remap	data/chars/dragy/idle00.gif   data/chars/dragy/alter04.gif

#-------Moves

anim spawn
	shadowcoords 175 300
	subentity	dust01
	spawnframe	30 0 0 0 0
	 loop       0
	 offset     225 298
	jumpframe  0 2 2
	landframe  30 
	quakeframe	35 60 5
	delay	16
	frame	data/chars/dragy/wk00.gif
	frame	data/chars/dragy/wk01.gif
	frame	data/chars/dragy/wk02.gif
	frame	data/chars/dragy/wk03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/wk04.gif
	frame	data/chars/dragy/wk00.gif
	frame	data/chars/dragy/wk01.gif
	frame	data/chars/dragy/wk02.gif
	frame	data/chars/dragy/wk03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/wk04.gif
	frame	data/chars/dragy/wk00.gif
	frame	data/chars/dragy/wk01.gif
	frame	data/chars/dragy/wk02.gif
	frame	data/chars/dragy/wk03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/wk04.gif
	frame	data/chars/dragy/wk00.gif
	frame	data/chars/dragy/wk01.gif
	frame	data/chars/dragy/wk02.gif
	frame	data/chars/dragy/wk03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/wk04.gif
	frame	data/chars/dragy/wk00.gif
	frame	data/chars/dragy/wk01.gif
	frame	data/chars/dragy/wk02.gif
	frame	data/chars/dragy/wk03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/wk04.gif
	frame	data/chars/dragy/wk00.gif
	frame	data/chars/dragy/wk01.gif
	frame	data/chars/dragy/wk02.gif
	frame	data/chars/dragy/wk03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/wk04.gif
	delay	16
	frame	data/chars/dragy/idle00.gif
	frame	data/chars/dragy/idle01.gif
	frame	data/chars/dragy/idle02.gif
	frame	data/chars/dragy/idle03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/idle04.gif

	sound   data/sounds/drags03.wav
	delay	4
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif

	delay	4
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif

	delay	4
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a304.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a305.gif


anim idle
	shadowcoords 175 300
	loop	1
	 offset     225 298
	bbox	148 141 152 111
	delay	16
	frame	data/chars/dragy/idle00.gif
	frame	data/chars/dragy/idle01.gif
	frame	data/chars/dragy/idle02.gif
	frame	data/chars/dragy/idle03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/idle04.gif

anim turn
	shadowcoords 175 300
	loop	0
	 offset     225 298
	bbox	148 141 152 111
	delay	8
	frame	data/chars/dragy/turn00.gif
	frame	data/chars/dragy/turn01.gif
	frame	data/chars/dragy/turn02.gif

anim walk
	shadowcoords 175 300
	loop	1
	offset     225 298
	bbox	148 141 152 111
	delay   16
	frame	data/chars/dragy/wk00.gif
	frame	data/chars/dragy/wk01.gif
	frame	data/chars/dragy/wk02.gif
	frame	data/chars/dragy/wk03.gif
	sound   data/sounds/wing01.wav
	frame	data/chars/dragy/wk04.gif

anim block
	shadowcoords 175 300
	subentity	dust01
	spawnframe	0 0 0 0 0
	loop	0	
	offset     225 298
	
	sound   data/sounds/block01.wav
	delay   2
	move	-5
@cmd projectile 1 "block" 0 0 0
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	move	-4
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	move	-4
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	move	-3
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	move	-3
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-2
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-2
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-1
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-1
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif

	move	0
	delay   2
	offset     228 298
	frame	data/chars/dragy/pain105.gif
	offset     225 298
	frame	data/chars/dragy/pain106.gif
	offset     222 298
	frame	data/chars/dragy/pain105.gif
	offset     225 298
	frame	data/chars/dragy/pain106.gif
	offset     228 298
	frame	data/chars/dragy/pain105.gif
	offset     225 298
	frame	data/chars/dragy/pain106.gif
	offset     222 298
	frame	data/chars/dragy/pain107.gif
	offset     225 298
	frame	data/chars/dragy/pain108.gif
	offset     228 298
	frame	data/chars/dragy/pain107.gif
	offset     225 298
	frame	data/chars/dragy/pain108.gif
	offset     222 298
	frame	data/chars/dragy/pain107.gif
	offset     225 298
	frame	data/chars/dragy/pain108.gif
	offset     228 298
	frame	data/chars/dragy/pain107.gif
	offset     225 298
	frame	data/chars/dragy/pain108.gif
	offset     222 298
	frame	data/chars/dragy/pain109.gif
	offset     225 298
	frame	data/chars/dragy/pain110.gif
	offset     228 298
	frame	data/chars/dragy/pain109.gif
	offset     225 298
	frame	data/chars/dragy/pain110.gif
	offset     222 298
	frame	data/chars/dragy/pain109.gif
	offset     225 298
	frame	data/chars/dragy/pain110.gif
	offset     228 298
	frame	data/chars/dragy/pain109.gif
	offset     225 298
	frame	data/chars/dragy/pain110.gif

anim attack1
	shadowcoords 175 300
	offset     225 298
	range	0 130
	subentity	dust01
	spawnframe	0 0 0 0 0
	loop		0
	hitfx   data/sounds/hit01.wav

	bbox	0 0 0 0
	delay	8
	frame	data/chars/dragy/a101.gif
	frame	data/chars/dragy/a102.gif
	frame	data/chars/dragy/a103.gif
	sound   data/sounds/slash02.wav
	attack1  226 166 104 133 15 0 0 0 40
	frame	data/chars/dragy/a104.gif
	frame	data/chars/dragy/a105.gif
	attack1  0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a101.gif
	frame	data/chars/dragy/a102.gif
	frame	data/chars/dragy/a103.gif
	sound   data/sounds/slash02.wav
	attack2  226 166 104 133 15 0 0 0 40
	frame	data/chars/dragy/a104.gif
	frame	data/chars/dragy/a105.gif
	attack2  0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a101.gif
	frame	data/chars/dragy/a102.gif
	frame	data/chars/dragy/a103.gif
	sound   data/sounds/slash02.wav
	attack2  226 166 104 133 15 0 0 0 40
	frame	data/chars/dragy/a104.gif
	frame	data/chars/dragy/a105.gif

anim attack2
	shadowcoords 175 300
	range	131 250
	subentity	dust01
	spawnframe	0 0 0 0 0
	loop		0
	offset     225 298
	hitfx   data/sounds/hit01.wav

	bbox	0 0 0 0
	delay	2
	move	1
	frame	data/chars/dragy/a201.gif
	frame	data/chars/dragy/a201.gif
	move	2
	frame	data/chars/dragy/a202.gif
	frame	data/chars/dragy/a202.gif
	move	3
	frame	data/chars/dragy/a203.gif
	frame	data/chars/dragy/a203.gif
	move	4
	sound   data/sounds/slash02.wav
	frame	data/chars/dragy/a204.gif
	frame	data/chars/dragy/a204.gif

	move	5
	attack1  226 176 202 124 15 1 0 0 40
	frame	data/chars/dragy/a205.gif
	frame	data/chars/dragy/a205.gif

	move	6
	frame	data/chars/dragy/a205.gif
	frame	data/chars/dragy/a205.gif

	move	5
	frame	data/chars/dragy/a205.gif
	frame	data/chars/dragy/a205.gif

	move	4
	frame	data/chars/dragy/a205.gif
	frame	data/chars/dragy/a205.gif

	move	3
	frame	data/chars/dragy/a205.gif
	frame	data/chars/dragy/a205.gif

	move	2
	frame	data/chars/dragy/a205.gif
	frame	data/chars/dragy/a205.gif

	move	1
	frame	data/chars/dragy/a205.gif
	frame	data/chars/dragy/a205.gif


	attack1  0 0 0 0 0 0 0 0 0
	delay	8
	move	0
	frame	data/chars/dragy/a204.gif
	frame	data/chars/dragy/a203.gif
	frame	data/chars/dragy/a202.gif
	frame	data/chars/dragy/a201.gif

anim attack3
	load		light1
	subentity	light1
	spawnframe	2 92 13 0 0
	shadowcoords 175 300
	range	131 250
	loop		0
	offset		225 298
	hitfx   data/sounds/shock01.wav

	bbox	0 0 0 0
	delay	8
	sound   data/sounds/slash02.wav
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif

	sound   data/sounds/drags03.wav
	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a303.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a304.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a305.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a305.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a301.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a301.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a302.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a303.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a304.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a305.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a301.gif
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a305.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a301.gif

	delay	4
	attack4  226 179 250 119 15 1 0 0 0 30
	frame	data/chars/dragy/a302.gif
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif
	frame	data/chars/dragy/a305.gif
	frame	data/chars/dragy/a301.gif
	attack4  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/dragy/a302.gif

	delay	8
	frame	data/chars/dragy/a303.gif
	frame	data/chars/dragy/a304.gif


#----------------------------------------ATTACK 1----------------------------------------;

anim pain1
	shadowcoords 175 300
	load		blood01
	subentity	blood01
	spawnframe	0 0 -35 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0

	bbox	148 141 152 111
	delay   2
	offset     228 298
	sound   data/sounds/drags01.wav
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     228 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     228 298
	frame	data/chars/dragy/pain103.gif
	offset     225 298
	frame	data/chars/dragy/pain104.gif
	offset     222 298
	frame	data/chars/dragy/pain103.gif
	offset     225 298
	frame	data/chars/dragy/pain104.gif
	
	delay   2
	move	-4
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-4
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-3
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	move	-3
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	move	-2
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	move	-1
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	move	0
	bbox	148 141 152 111
	frame	data/chars/dragy/pain107.gif
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain107.gif
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain107.gif
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain107.gif
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif

anim fall1
	shadowcoords 175 300
	load		blood01
	subentity	blood01
	spawnframe	0 0 -35 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	 offset     225 298
	delay	1
	frame	data/chars/dragy/pain101.gif

anim rise1
	shadowcoords 175 300
	loop	0
	 offset     225 298
	delay	1
	frame	data/chars/dragy/pain101.gif

anim death1
	shadowcoords 175 300
	load		blood01
	subentity	blood01
	spawnframe	0 0 -35 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	jumpframe	36 4.5 0
	dropframe	86
	landframe	87
	quakeframe	87 60 10
	loop	0
	offset     225 298

	delay   2
	offset     228 298
	sound   data/sounds/drags01.wav
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     228 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     228 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	
	offset     228 298
	sound   data/sounds/drags01.wav
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     228 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     228 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	
	offset     228 298
	sound   data/sounds/drags01.wav
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     228 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     228 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	offset     222 298
	frame	data/chars/dragy/pain101.gif
	offset     225 298
	frame	data/chars/dragy/pain102.gif
	
	delay   8
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	frame	data/chars/dragy/pain107.gif
