name	     Sentc
type	     none
shadow	     0
candamage   enemy obstacle
animationscript data/scripts2/script.c
antigravity 100

anim	idle
	attack	7 1 147 26 0
	followanim	1
	followcond	1
	loop	1
	delay	3
	offset	115 21
	move	30
	frame	data/chars/Sentinel/c1.gif
	frame	data/chars/Sentinel/c1.gif
		
anim	follow
	loop	1
	delay	3
	offset	115 21
	move	30
	@cmd	slamstart2
	@cmd	position 1 48 -36 0 1
	frame	data/chars/Sentinel/c1.gif
	@cmd	position 1 48 -36 0 1
	frame	data/chars/Sentinel/c1.gif
	@cmd	position 1 48 -36 0 1
	frame	data/chars/Sentinel/c1.gif
	@cmd	position 1 48 -36 0 1
	frame	data/chars/Sentinel/c1.gif
	@cmd	position 1 48 -36 0 1
	frame	data/chars/Sentinel/c1.gif
	@cmd	position 1 48 -36 0 1
	frame	data/chars/Sentinel/c1.gif
	@cmd	depost 1
	@cmd	throw 0 1 2 0 0 1
	@cmd	clearL
	frame	data/chars/Sentinel/c1.gif
	@cmd	spawn01 "sablast" 0 0 0
	frame	data/chars/misc/empty.gif
	@cmd	suicide()
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.50
		
