name	       bot
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts/toad.c


icon           data/chars/Sentinel/icon.gif

anim idle
	loop	1
	delay	6
	frame	data/Chars/Sentinel/idle1.gif
	frame	data/Chars/Sentinel/idle2.gif
	frame	data/Chars/Sentinel/idle3.gif
	frame	data/Chars/Sentinel/idle4.gif
	frame	data/Chars/Sentinel/idle5.gif
	frame	data/Chars/Sentinel/idle6.gif
	frame	data/Chars/Sentinel/idle7.gif
	frame	data/Chars/Sentinel/idle8.gif
	frame	data/Chars/Sentinel/idle9.gif
	frame	data/Chars/Sentinel/idle10.gif
	frame	data/Chars/Sentinel/idle11.gif
	frame	data/Chars/Sentinel/idle12.gif
	frame	data/Chars/Sentinel/idle13.gif
	frame	data/Chars/Sentinel/idle14.gif
	frame	data/Chars/Sentinel/idle15.gif
	frame	data/Chars/Sentinel/idle16.gif
	frame	data/Chars/Sentinel/idle17.gif
	frame	data/Chars/Sentinel/idle18.gif
	frame	data/Chars/Sentinel/idle19.gif
	frame	data/Chars/Sentinel/idle20.gif


anim walk
	loop	1
	delay	6
	offset	24 140
	frame	data/Chars/Sentinel/walk1.gif
	frame	data/Chars/Sentinel/walk2.gif
	frame	data/Chars/Sentinel/walk3.gif
	frame	data/Chars/Sentinel/walk4.gif
	frame	data/Chars/Sentinel/walk5.gif
	frame	data/Chars/Sentinel/walk6.gif
	frame	data/Chars/Sentinel/walk7.gif
	frame	data/Chars/Sentinel/walk8.gif
	frame	data/Chars/Sentinel/walk9.gif
	frame	data/Chars/Sentinel/walk10.gif
	frame	data/Chars/Sentinel/walk11.gif
	frame	data/Chars/Sentinel/walk12.gif
	frame	data/Chars/Sentinel/walk13.gif
	frame	data/Chars/Sentinel/walk14.gif
	frame	data/Chars/Sentinel/walk15.gif

anim RUN
	loop	1
	delay	6
	offset	24 140
	frame	data/Chars/Sentinel/run1.gif
	frame	data/Chars/Sentinel/run2.gif
	frame	data/Chars/Sentinel/run3.gif
	frame	data/Chars/Sentinel/run4.gif
	frame	data/Chars/Sentinel/run5.gif
	frame	data/Chars/Sentinel/run6.gif
	frame	data/Chars/Sentinel/run7.gif
	frame	data/Chars/Sentinel/run8.gif
	frame	data/Chars/Sentinel/run9.gif
	frame	data/Chars/Sentinel/run10.gif
	frame	data/Chars/Sentinel/run11.gif
	frame	data/Chars/Sentinel/run12.gif
	frame	data/Chars/Sentinel/run13.gif
	frame	data/Chars/Sentinel/run14.gif
	frame	data/Chars/Sentinel/run15.gif



anim  jump
	loop  0
	offset  44  98
	delay 6
	frame  data/Chars/Sentinel/jump1.gif
	frame  data/Chars/Sentinel/jump2.gif
	frame  data/Chars/Sentinel/jump3.gif
	frame  data/Chars/Sentinel/jump4.gif
	frame  data/Chars/Sentinel/jump5.gif

anim get
        	loop	0
	delay	6
	offset	155 155
	frame	data/Chars/Sentinel/get.gif

anim attack1
	loop	0
	delay	6
	offset	155 155
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Sentinel/attack1.gif
	frame	data/Chars/Sentinel/attack2.gif
	frame	data/Chars/Sentinel/attack3.gif
	frame	data/Chars/Sentinel/attack4.gif
	frame	data/Chars/Sentinel/attack5.gif
	frame	data/Chars/Sentinel/attack6.gif
	frame	data/Chars/Sentinel/attack7.gif
	frame	data/Chars/Sentinel/attack8.gif
	frame	data/Chars/Sentinel/attack9.gif
	frame	data/Chars/Sentinel/attack10.gif
	frame	data/Chars/Sentinel/attack11.gif
	frame	data/Chars/Sentinel/attack12.gif
	frame	data/Chars/Sentinel/attack13.gif
	frame	data/Chars/Sentinel/attack14.gif
	frame	data/Chars/Sentinel/attack15.gif
	frame	data/Chars/Sentinel/attack16.gif
	frame	data/Chars/Sentinel/attack17.gif
	frame	data/Chars/Sentinel/attack18.gif

anim attack2
	loop	0
	delay	6
	offset	155 155
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Sentinel/bttack1.gif	
	frame	data/Chars/Sentinel/bttack2.gif
	frame	data/Chars/Sentinel/bttack3.gif
	frame	data/Chars/Sentinel/bttack4.gif
	frame	data/Chars/Sentinel/bttack5.gif
	frame	data/Chars/Sentinel/bttack6.gif
	frame	data/Chars/Sentinel/bttack7.gif
	frame	data/Chars/Sentinel/bttack8.gif
	frame	data/Chars/Sentinel/bttack9.gif
	frame	data/Chars/Sentinel/bttack10.gif
	frame	data/Chars/Sentinel/bttack11.gif



anim attack3
	loop	0
	delay	6
	offset	155 155
	hitfx	data/Chars/Rogue/hit.wav
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Sentinel/cttack1.gif	
	frame	data/Chars/Sentinel/cttack2.gif
	frame	data/Chars/Sentinel/cttack3.gif
	frame	data/Chars/Sentinel/cttack4.gif
	frame	data/Chars/Sentinel/cttack5.gif
	frame	data/Chars/Sentinel/cttack6.gif
	frame	data/Chars/Sentinel/cttack7.gif
	frame	data/Chars/Sentinel/cttack8.gif
	frame	data/Chars/Sentinel/cttack9.gif
	frame	data/Chars/Sentinel/cttack10.gif
	frame	data/Chars/Sentinel/cttack11.gif

anim attack4
	loop	0
	delay	6
	offset	155 155
	hitfx	data/sounds/bukk.wav
	hitflash flash
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Sentinel/dttack1.gif	
	frame	data/Chars/Sentinel/dttack2.gif
	frame	data/Chars/Sentinel/dttack3.gif
	frame	data/Chars/Sentinel/dttack4.gif
	frame	data/Chars/Sentinel/dttack5.gif
	frame	data/Chars/Sentinel/dttack6.gif
	frame	data/Chars/Sentinel/dttack7.gif
	frame	data/Chars/Sentinel/dttack8.gif
	frame	data/Chars/Sentinel/dttack9.gif
