music		data/music/konoha.bor

background	data/bgs/konoha/back.gif
panel		data/bgs/konoha/level.gif
#frontpanel      data/bgs/konoha/f00.gif

order a

#--group1-----

spawn	Ninja
coords	350 160
at	10

spawn	Ninja
coords	350 220
at	15


#---group2----------

spawn	Ninja_
coords	350 190
at	200

spawn	Ninja__
coords	-30 160
at	220

wait
at	320

#--group3-----------

spawn	Ninja_
coords	-30 200
at	450

spawn	Claw
coords	340 210
at	470

spawn	Ninja
coords	350 165
at	470



#------------

spawn	Ninja__
coords	-30 210
at	700

spawn	Claw
coords	350 165
at	710

spawn	Ninja_
coords	350 220
at	710

wait
at	720

#--------------

group	1 4
at	950

wait
at	960

spawn	Ninja
coords	350 220
at	960

spawn	Ninja__
coords	-30 170
at	960

spawn	Ninja_
coords	350 170
at	960

spawn	Ninja
coords	-30 220
at	960

spawn	Claw
health	30
coords	-30 170
at	960

spawn	Claw
coords	-30 200
at	960


group	100 100
at	1000

#---------


spawn	Ninja
coords	-30 170
at	1150

spawn	Ninja
coords	-30 220
at	1150

spawn	Ninja
map	2
coords	350 200
at	1150

wait
at	1200

#---------

#spawn	Ninja
#coords	350 228
#at	1400

spawn	Ninja_
coords	-30 226
at	1420

spawn	Ninja
coords	350 200
at	1430

spawn	Claw
coords	-30 165
at	1430


spawn	Ninja
coords	350 165
at	1750

spawn	Ninja
coords	350 220
at	1750

wait
at	1800


spawn	Ninja
coords	-30 165
at	1930

spawn	Ninja
coords	350 165
at	1950

spawn	Ninja
coords	350 165
at	1950


spawn	Ninja__
coords	350 200
at	2300

spawn	Ninja__
coords	-30 165
at	2300

wait
at	2400


