name	       Samari
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
flash flashp
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts/toad.c

com             d f a freespecial4
com             d u a freespecial
com             d d a freespecial3
com             a2 freespecial2
com             a3 freespecial5
com             a4 freespecial6
com             u u a freespecial7
com             d f s freespecial8

icon	data/Chars/Samari/icon.gif	




anim	attack1
	cancel	0 4 0 d f a freespecial4
	cancel	0 4 0 d u a freespecial
	cancel	0 4 0 d d a freespecial3
	cancel	0 4 0 a2 freespecial2
	cancel	0 4 0 a3 freespecial5
	cancel	0 4 0 a4 freespecial6
	cancel	0 4 0 u u a freespecial7
	cancel	0 4 0 d f s freespecial8
	bbox	45 12 40 89
	loop	0
	delay	6
	offset	61 101
	frame	data/Chars/Samari/attack1.gif
	offset	61 111
	frame	data/Chars/Samari/attack2.gif
	attack	81 16 144 84 7 0 0 0 4 15
	bbox	59 16 40 96
	frame	data/Chars/Samari/attack3.gif
	bbox	54 10 39 86
	offset	61 96
	frame	data/Chars/Samari/attack4.gif
	frame	data/Chars/Samari/attack5.gif
		
anim	attack2
	cancel	0 4 0 d f a freespecial4
	cancel	0 4 0 d u a freespecial
	cancel	0 4 0 d d a freespecial3
	cancel	0 4 0 a2 freespecial2
	cancel	0 4 0 a3 freespecial5
	cancel	0 4 0 a4 freespecial6
	cancel	0 4 0 u u a freespecial7
	cancel	0 4 0 d f s freespecial8
	bbox	68 16 37 95
	loop	0
	delay	6
	offset	75 114
	frame	data/Chars/Samari/bttack1.gif
	attack	78 19 129 122 7 0 1 0 4 15
	offset	62 134
	bbox	47 58 54 77
	frame	data/Chars/Samari/bttack2.gif
	bbox	43 14 56 79
	offset	62 95
	frame	data/Chars/Samari/bttack3.gif
	offset	62 93
	frame	data/Chars/Samari/bttack4.gif
	frame	data/Chars/Samari/bttack5.gif
		
anim	attack3
	cancel	0 6 0 d f a freespecial4
	cancel	0 6 0 d u a freespecial
	cancel	0 6 0 d d a freespecial3
	cancel	0 6 0 a2 freespecial2
	cancel	0 6 0 a3 freespecial5
	cancel	0 6 0 a4 freespecial6
	cancel	0 6 0 u u a freespecial7
	cancel	0 6 0 d f s freespecial8
	bbox	43 14 37 80
	loop	0
	delay	6
	offset	50 96
	frame	data/Chars/Samari/cttack1.gif
	offset	56 96
	frame	data/Chars/Samari/cttack2.gif
	attack	37 5 178 156 7 0 0 0 4 15
	bbox	40 80 55 99
	offset	59 180
	frame	data/Chars/Samari/cttack3.gif
	offset	59 177
	frame	data/Chars/Samari/cttack4.gif
	offset	59 178
	frame	data/Chars/Samari/cttack5.gif
	offset	59 180
	frame	data/Chars/Samari/cttack6.gif
	offset	59 176
	frame	data/Chars/Samari/cttack7.gif
		
anim	attack4
	cancel	0 3 0 d f a freespecial4
	cancel	0 3 0 d u a freespecial
	cancel	0 3 0 d d a freespecial3
	cancel	0 3 0 a2 freespecial2
	cancel	0 3 0 a3 freespecial5
	cancel	0 3 0 a4 freespecial6
	cancel	0 3 0 u u a freespecial7
	cancel	0 3 0 d f s freespecial8
	bbox	15 14 71 89
	loop	0
	delay	6
	offset	51 107
	frame	data/Chars/Samari/dttack1.gif
	bbox	38 9 68 83
	offset	63 99
	frame	data/Chars/Samari/dttack2.gif
	attack	105 7 150 36 12 1 0 0 4 15
	offset	63 103
	bbox	37 10 72 91
	frame	data/Chars/Samari/dttack3.gif
	offset	63 99
	frame	data/Chars/Samari/dttack4.gif
		
anim	fall
	loop	0
	delay	6
	offset	59 74
	frame	data/Chars/Samari/fall1.gif
	offset	88 29
	frame	data/Chars/Samari/fall2.gif
		
anim	freespecial
	cancel	0 3 0 d f a freespecial8
	attack	14 60 99 83 12 1 0 0 24 15
	dropv	4 2 0
	bbox	19 23 76 56
	@cmd	leaper 5 3 0
	loop	0
	delay	6
	offset	58 141
	frame	data/Chars/Samari/anew1.gif
	frame	data/Chars/Samari/anew1.gif
	frame	data/Chars/Samari/anew1.gif
	frame	data/Chars/Samari/anew1.gif
		
anim	freespecial2
	cancel	0 4 0 d f a freespecial8
	hitflash	samarib
	bbox	51 6 52 108
	loop	0
	delay	6
	offset	69 114
	frame	data/Chars/Samari/bttack1.gif
	bbox	47 44 61 86
	attack	74 5 137 139 12 1 0 0 24 15
	offset	60 135
	frame	data/Chars/Samari/bttack2.gif
	bbox	41 18 57 80
	offset	60 96
	frame	data/Chars/Samari/bttack3.gif
	offset	60 94
	frame	data/Chars/Samari/bttack4.gif
	frame	data/Chars/Samari/bttack5.gif
		
anim	freespecial3
	cancel	0 11 0 d f a freespecial8
	bbox	53 23 43 105
	attack	122 2 143 74 12 1 0 0 24 15
	dropv	-1 2 0
	loop	0
	delay	6
	offset	61 124
	frame	data/Chars/Samari/bnew1.gif
	attack	0
	offset	62 125
	frame	data/Chars/Samari/bnew2.gif
	attack	149 1 138 94 12 1 0 0 24 15
	dropv	1 2 0
	offset	62 134
	frame	data/Chars/Samari/bnew3.gif
	attack	0
	offset	62 141
	frame	data/Chars/Samari/cnew4.gif
	attack	136 3 158 123 12 1 0 0 24 15
	dropv	-1 2 0
	offset	63 145
	frame	data/Chars/Samari/cnew5.gif
	attack	0
	offset	63 148
	frame	data/Chars/Samari/cnew6.gif
	attack	140 5 140 83 12 1 0 0 24 15
	dropv	1 2 0
	offset	65 105
	frame	data/Chars/Samari/cnew7.gif
	attack	0
	bbox	59 5 38 93
	offset	65 96
	frame	data/Chars/Samari/cnew8.gif
	frame	data/Chars/Samari/cnew9.gif
	frame	data/Chars/Samari/cnew10.gif
	attack	145 5 148 81 12 1 0 0 24 15
	dropv	1.5 5 0
	offset	65 93
	frame	data/Chars/Samari/cnew11.gif
	attack	0
	offset	65 101
	frame	data/Chars/Samari/cnew12.gif
		
anim	freespecial4
