name	jin2
health 95
running 16 2 4 2 10
fmap 2
mp 120
speed 10
type	player
gfxshadow 1
dust dust
shadow 5
icon	data/chars/jin2/icon.gif
diesound data/chars/jin2/die.wav

load cyclo

com 		D F A     freespecial2
com 		D F D F A freespecial


palette data/chars/jin2/jin.gif

remap	data/chars/jin2/idle1.gif data/chars/jin2/alt1.gif
remap	data/chars/jin2/idle1.gif data/chars/jin2/alt2.gif

















































anim	attack1
	sound	data/chars/jin2/iae.wav
	loop	0
	delay	7
	offset	32 94
	bbox	13 3 43 103
	frame	data/chars/jin2/soc2.gif
	attack	34 20 62 26 10 0 1 0 0 0
	offset	32 94
	frame	data/chars/jin2/soc1.gif
	offset	32 94
	frame	data/chars/jin2/soc2.gif
		
anim	attack2
	sound	data/chars/jin2/iae.wav
	loop	0
	delay	7
	offset	32 96
	bbox	13 3 43 103
	frame	data/chars/jin2/sc2.gif
	attack	34 23 62 26 10 0 1 0 0 0
	offset	32 96
	frame	data/chars/jin2/sc1.gif
	offset	32 96
	frame	data/chars/jin2/sc2.gif
		
anim	attack3
	sound	data/chars/jin2/iae.wav
	loop	0
	delay	7
	offset	21 99
	bbox	7 7 28 92
	frame	data/chars/jin2/ch2.gif
	bbox	17 11 33 90
	offset	21 99
	frame	data/chars/jin2/ch1.gif
	attack	18 24 69 38 15 1 1 0 0 0
	offset	21 99
	frame	data/chars/jin2/ch3.gif
	offset	21 99
	frame	data/chars/jin2/ch1.gif
	offset	21 99
	bbox	7 7 28 92
	frame	data/chars/jin2/ch2.gif
		
anim	bpain
	loop	0
	offset	66 128
	bbox	39 31 54 102
	delay	6
	frame	data/chars/yusuke/fire1.gif
	offset	66 128
	bbox	0 0 0 0
	delay	6
	frame	data/chars/yusuke/fire2.gif
	bbox	0 0 0 0
	offset	66 128
	delay	6
	frame	data/chars/yusuke/fire1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/fire2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/fire1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/fire2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/fire1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/fire2.gif
	bbox	0 0 0 0
	offset	66 1218
	frame	data/chars/yusuke/fire1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/fire2.gif
	bbox	0 0 0 0
	offset	66 128
