name	     Dragonblack
type	     none
health	1
shadow	     0
candamage    enemy obstacle
lifespan 4
antigravity 100
animationscript data/scripts2/script.c


anim	spawn
	loop	0
	delay	3
	offset	400 250
	@cmd	spawn01 "Dragonflame" 0 0 0
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	frame	data/chars/Dragon/black.gif
	@cmd	suicide()
	frame	data/chars/Dragon/idle.gif
		
#|edited by openBor Stats v 0.49
		
