name				bugbear
type				enemy
hostile				player npc
candamage			player npc
score				28 -1
health				24
speed				10
shadow				2
aironly				1
noquake				1
dust				dust01
flash				flash11
#noatflash			1
bflash				guard01
cantgrab			1
notgrab				1
jumpheight			2
antigravity			30
#risetime 1000
nodieblink			0
falldie				2
jugglepoints		15
icon				data/chars/bugbear/icon.gif 1
icondie				data/chars/bugbear/icond.gif 1
diesound			data/sounds/orc01.wav
takedamagescript	data/scripts/ndamage.c

palette				data/chars/bugbear/bugbear.gif #1

remap	data/chars/bugbear/idle00.gif   data/chars/bugbear/alter01.gif
remap	data/chars/bugbear/idle00.gif   data/chars/bugbear/alter02.gif
remap	data/chars/bugbear/idle00.gif   data/chars/bugbear/alter03.gif

#-------Moves

anim spawn
	shadowcoords 218 198
	subentity	dust01
	spawnframe	55 0 0 0 0
	loop	0
	offset     225 198
	bbox	212 143 30 55
	move	2
	delay      1
	sound   data/sounds/run01.wav
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	sound   data/sounds/run01.wav
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	sound   data/sounds/run01.wav
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	sound   data/sounds/run01.wav
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	move	1
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif
	frame	data/chars/bugbear/a101.gif

 	move 0
	 delay      24
	 frame	data/chars/bugbear/idle00.gif

	 
anim idle
	shadowcoords 218 198
	loop	1
	 offset     225 198
	bbox	212 143 30 55
	delay	1
	frame	data/chars/bugbear/idle00.gif

anim walk
	shadowcoords 218 198
	loop	1
	offset     225 198
	bbox	212 143 30 55
	delay   12
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk05.gif

anim attack1
	shadowcoords 218 198
	range		0 33
	loop	0
	offset     225 198
	bbox	212 143 30 55
	hitfx   data/sounds/hit01.wav
	hitflash   flash01
	delay	11
	frame	data/chars/bugbear/a101.gif
	delay	6
	sound   data/sounds/slash01.wav
	attack2  225 154 33 45 5 0 0 0 0
	frame	data/chars/bugbear/a102.gif
	frame	data/chars/bugbear/a103.gif
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	25
	frame	data/chars/bugbear/a103.gif
	delay	17
	frame	data/chars/bugbear/idle00.gif


anim attack2
	shadowcoords 218 198
	range	32 91
	loop	0
	delay	22
	offset     225 198
	bbox	212 143 30 55
	hitfx   data/sounds/hit01.wav

	delay	11
	frame	data/chars/bugbear/a201.gif
	delay	6
	sound   data/sounds/slash01.wav
	attack2  225 161 91 38 5 0 0 0 0
	frame	data/chars/bugbear/a202.gif
	frame	data/chars/bugbear/a203.gif
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	12
	frame	data/chars/bugbear/a203.gif

	delay	11
	frame	data/chars/bugbear/a201.gif
	delay	6
	sound   data/sounds/slash01.wav
	attack2  225 161 91 38 5 0 0 0 0
	frame	data/chars/bugbear/a202.gif
	frame	data/chars/bugbear/a203.gif
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	25
	frame	data/chars/bugbear/a203.gif
	
	delay	17
	frame	data/chars/bugbear/idle00.gif


anim attack3
	shadowcoords 218 198
	followanim 1
	followcond 1
	subentity	dust01
	spawnframe	0 0 0 0 0
	range		92 200
	loop	0
	offset     225 198
	bbox	212 143 30 55
	hitfx   data/sounds/hit01.wav
	hitflash   flash01
	
	move	2
	delay      1
	sound   data/sounds/run01.wav
	attack2  225 154 33 45 5 1 0 0 0
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	sound   data/sounds/run01.wav
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	sound   data/sounds/run01.wav
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk00.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk01.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	frame	data/chars/bugbear/wk02.gif
	sound   data/sounds/run01.wav
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk03.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk04.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	frame	data/chars/bugbear/wk05.gif
	
anim follow1
	shadowcoords 218 198
	loop	0
	offset     225 198
	bbox	212 143 30 55
	hitfx   data/sounds/hit01.wav
	
	move	0
	delay	6
	sound   data/sounds/slash01.wav
	attack2  225 154 33 45 5 1 0 0 0
	frame	data/chars/bugbear/a102.gif
	frame	data/chars/bugbear/a103.gif
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	50
	frame	data/chars/bugbear/a103.gif
	delay	17
	frame	data/chars/bugbear/idle00.gif

#----------------------------------------ATTACK 1----------------------------------------;

anim pain1
	shadowcoords 218 198
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	bbox	212 143 30 55
	sound   data/sounds/orc01.wav

	delay   2
	offset     228 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     222 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     228 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     222 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     228 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     222 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	
	delay   2
	move	-3
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-2
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-2
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-1
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-1
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif

anim fall1
	shadowcoords 218 198
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	dropframe		1
	landframe		2
	loop	0
	 offset     225 198
	bbox	212 143 30 55
	sound   data/sounds/pdie1.wav
	delay   999
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/fall01.gif
	bbox		0 0 0 0
	delay	35
	sound   data/sounds/fall01.wav
	frame	data/chars/bugbear/fall01.gif
	delay	40
	frame	data/chars/bugbear/rise00.gif

anim rise1
	shadowcoords 218 198
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/bugbear/rise01.gif
	frame	data/chars/bugbear/rise02.gif

anim death1
	shadowcoords 218 198
	loop	0
	 offset     225 198
	delay   1
	frame	data/chars/bugbear/rise00.gif

#----------------------------------------ATTACK 1----------------------------------------;


#----------------------------------------ATTACK 2----------------------------------------;

anim pain2
	shadowcoords 218 198
	jumpframe	0 1.2 -1.7
	landframe	13
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	bbox	212 143 30 55
	sound   data/sounds/orc01.wav

	delay   2
	offset     228 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     222 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     228 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     222 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     228 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	offset     222 198
	frame	data/chars/bugbear/pain101.gif
	offset     225 198
	frame	data/chars/bugbear/pain101.gif
	
	delay   999
	frame	data/chars/bugbear/pain101.gif
	
	delay	12
	frame	data/chars/bugbear/rise02.gif

anim fall2
	shadowcoords 218 198
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	dropframe		1
	landframe		2
	loop	0
	 offset     225 198
	bbox	212 143 30 55
	sound   data/sounds/pdie1.wav
	delay   999
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/fall01.gif
	bbox		0 0 0 0
	delay	35
	sound   data/sounds/fall01.wav
	frame	data/chars/bugbear/fall01.gif
	delay	40
	frame	data/chars/bugbear/rise00.gif

anim rise2
	shadowcoords 218 198
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/bugbear/rise01.gif
	frame	data/chars/bugbear/rise02.gif

anim death2
	shadowcoords 218 198
	loop	0
	 offset     225 198
	delay   1
	frame	data/chars/bugbear/rise00.gif

#----------------------------------------ATTACK 2----------------------------------------;

#----------------------------------------BURN ATTACK----------------------------------------;

anim pain3
	shadowcoords 218 198
	subentity	dust01
	spawnframe	15 0 0 0 0
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	delay   2
	move	-3
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-2
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-2
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-1
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-1
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif

anim fall3
	shadowcoords 218 198
	dropframe	16
	landframe	17
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	frame	data/chars/misc/burn/101.gif
	frame	data/chars/misc/burn/102.gif
	frame	data/chars/misc/burn/103.gif
	delay   999
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/fall01.gif
	bbox		0 0 0 0
	delay	35
	sound   data/sounds/fall01.wav
	frame	data/chars/bugbear/fall01.gif
	delay	40
	frame	data/chars/bugbear/rise00.gif

anim rise3
	shadowcoords 218 198
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/bugbear/rise01.gif
	frame	data/chars/bugbear/rise02.gif

anim death3
	shadowcoords 218 198
	loop	0
	 offset     225 198
	delay   1
	frame	data/chars/bugbear/rise00.gif

#----------------------------------------BURN ATTACK----------------------------------------;


#----------------------------------------SHOCK ATTACK----------------------------------------;

anim pain4
	shadowcoords 218 198
	subentity	dust01
	spawnframe	15 0 0 0 0
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	delay   2
	move	-3
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-2
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-2
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-1
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	move	-1
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif
	delay   2
	frame	data/chars/bugbear/pain101.gif

anim fall4
	shadowcoords 218 198
	dropframe	16
	landframe	17
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	delay   999
	frame	data/chars/bugbear/pain101.gif
	frame	data/chars/bugbear/fall01.gif
	bbox		0 0 0 0
	delay	35
	sound   data/sounds/fall01.wav
	frame	data/chars/bugbear/fall01.gif
