name	Naruto
health	100
speed 10
running	16	3	2	1
type	player
shadow	2
grabdistance 23
diesound data/chars/Naruto/die.wav
icon	data/chars/Naruto/icon.gif
bflash  bflash
dust	 dust
jumpheight 3
com  a2  freespecial
animationscript data/scripts/spawns.c
script data/scripts/playerscript.c






anim	attack1
	loop	0
	delay	7
	offset	60 116
	sound	data/chars/Naruto/ha.wav
	frame	data/chars/Naruto/jab00.gif
	attack	63 68 60 47 8 0 0 0 0 0
	frame	data/chars/Naruto/jab01.gif
	frame	data/chars/Naruto/jab02.gif
	frame	data/chars/Naruto/jab03.gif
		
anim	attack2
	loop	0
	delay	7
	offset	60 116
	frame	data/chars/Naruto/head00.gif
	frame	data/chars/Naruto/head01.gif
	attack	65 83 62 32 14 0 0 0 0 0
	frame	data/chars/Naruto/head02.gif
	frame	data/chars/Naruto/head03.gif
		
anim	attack3
	loop	0
	delay	7
	offset	60 116
	frame	data/chars/Naruto/punch00.gif
	frame	data/chars/Naruto/punch01.gif
	attack	69 79 52 35 18 1 0 0 0 0
	frame	data/chars/Naruto/punch02.gif
	frame	data/chars/Naruto/punch03.gif
	frame	data/chars/Naruto/punch04.gif
		
anim	burn
	loop	1
	offset	60 116
	delay	3
	frame	data/chars/misc/burn1.gif
	frame	data/chars/misc/burn2.gif
	frame	data/chars/misc/burn3.gif
		
anim	duck
	loop	0
	delay	10
	offset	60 116
	bbox	41 99 31 17
	frame	data/chars/Naruto/get00.gif
	frame	data/chars/Naruto/get01.gif
	frame	data/chars/Naruto/get02.gif
		
anim	fall
	loop	0
	offset	60 116
	delay	30
	attack	43 65 26 33 4 1
	sound	data/chars/Naruto/ugh.wav
	frame	data/chars/Naruto/fall00.gif
	delay	20
	frame	data/chars/Naruto/fall01.gif
		
anim	freespecial
	energycost	0
	mponly	1
	@cmd	enoughmp
	loop	0
	delay	30
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	@cmd	changeopenborvariant "slowmotion" 1
	offset	60 116
	frame	data/chars/Naruto/jab03.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	@cmd	changeopenborvariant "slowmotion" 0
	delay	7
	sound	data/chars/Naruto/ha.wav
	frame	data/chars/Naruto/jab00.gif
	attack	65 83 30 7 8
	frame	data/chars/Naruto/jab01.gif
	frame	data/chars/Naruto/jab02.gif
	attack	0
	frame	data/chars/Naruto/jab03.gif
	attack	0 0 0 0 0 0 0 0 0 0
	loop	0
	delay	4
	offset	60 116
	frame	data/chars/Naruto/head00.gif
	frame	data/chars/Naruto/head01.gif
	attack	65 83 30 7 14
	frame	data/chars/Naruto/head02.gif
	attack	0
	frame	data/chars/Naruto/head03.gif
	attack	0 0 0 0 0 0 0 0 0 0
	loop	0
	delay	4
	offset	60 116
	sound	data/chars/Naruto/ha.wav
	frame	data/chars/Naruto/jab00.gif
	attack	65 83 30 7 8
	frame	data/chars/Naruto/jab01.gif
	frame	data/chars/Naruto/jab02.gif
	frame	data/chars/Naruto/jab03.gif
