name		Fsoldier1b
riseinv 	1 1
health		60
speed           22
running		50 4 2 1 0
type		Enemy
antigravity 20
noquake 1
dust		0
shadow 0
mp  250
atchain		1 2 3 4
subject_to_hole 0
palette   data/chars/Fsoldier1/at0.gif
alternatepal   data/chars/Fsoldier1/at0.gif
projectilehit enemy
icon		data/chars/Fsoldier1/icon.gif
icondie		data/chars/Fsoldier1/icondie.gif
load    Effect3
load	explosion1





anim	attack1
	bbox	87 -15 -69 126
	delay	7
	offset	47 93
	move	2
	sound	data/chars/Fsoldier1/sp.wav
	frame	data/chars/Fsoldier1/at0.gif
	frame	data/chars/Fsoldier1/at0.gif
	offset	34 88
	hitflash	Flashdbz
	attack3	8 19 101 26 5 0 0 0 10 10
	frame	data/chars/Fsoldier1/at2.gif
	attack3	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Fsoldier1/at2.gif
	move	0
	frame	data/chars/Fsoldier1/at2.gif
		
anim	attack2
	loop	0
	delay	7
	offset	53 97
	bbox	5 7 73 97
	frame	data/chars/Fsoldier1/at0.gif
	frame	data/chars/Fsoldier1/at0.gif
	hitflash	Flashdbz
	offset	22 89
	attack3	-10 30 115 21 5 0 0 0 10 0
	frame	data/chars/Fsoldier1/at1.gif
	frame	data/chars/Fsoldier1/at1.gif
		
anim	attack3
	bbox	78 -2 -69 126
	delay	7
	offset	52 88
	move	2
	frame	data/chars/Fsoldier1/at0.gif
	frame	data/chars/Fsoldier1/at0.gif
	offset	34 84
	hitflash	Flashdbz
	attack3	8 19 101 26 5 0 0 0 10 10
	frame	data/chars/Fsoldier1/at2.gif
	attack3	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Fsoldier1/at2.gif
	move	0
	frame	data/chars/Fsoldier1/at2.gif
		
anim	attack4
	Subentity	explosion1
	Spawnframe	1 70 0 50 0
	loop	0
	delay	5
	bbox	5 7 73 97
	offset	55 93
	frame	data/chars/Fsoldier1/at0.gif
	sound	data/chars/bardock/carrega.wav
	frame	data/chars/Fsoldier1/at0.gif
	frame	data/chars/Fsoldier1/at0.gif
	sound	data/chars/at4.wav
	frame	data/chars/Fsoldier1/at0.gif
	offset	36 123
	sound	data/chars/bardock/raio.wav
	attack3	31 44 101 26 5 1 0 0 30 10
	frame	data/chars/Fsoldier1/fireb.gif
	delay	22
	frame	data/chars/Fsoldier1/fireb.gif
	frame	data/chars/Fsoldier1/fireb.gif
		
anim	backwalk
	delay	7
	loop	0
	bbox	78 -2 -69 126
	sound	data/chars/bardock/walk.wav
	offset	56 86
	frame	data/chars/Fsoldier1/backwalk.gif
	frame	data/chars/Fsoldier1/backwalk.gif
		
anim	fall
	bbox	55 -10 -46 117
	landframe	4
	delay	2
	offset	34 91
