name				fire3
type				npc
hostile				enemy
candamage			enemy
health				1000
speed				15
shadow				3
noquake				1
dust				dust01
flash				flash01
noatflash			1
bflash				guard01
cantgrab			1
notgrab				1
nopain				1
nodrop				2
nodieblink			2
falldie				1
nolife				1
lifespan			15
subject_to_screen	1
#aimove				chase
aggression			300

palette				data/chars/misc/element/element.gif #1

#-------Moves

anim spawn
	load		ele_03
	subentity	ele_03
	spawnframe	34 240 176 0 1
	shadowcoords 218 198
	loop       0
	offset     225 198
	delay	2
	frame	data/chars/misc/element/fire1/01.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/03.gif
	frame	data/chars/misc/empty.gif

	frame	data/chars/misc/element/fire1/04.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/06.gif
	frame	data/chars/misc/empty.gif

	frame	data/chars/misc/element/fire1/07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/08.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/09.gif
	frame	data/chars/misc/empty.gif

	frame	data/chars/misc/element/fire1/10.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/11.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/12.gif
	frame	data/chars/misc/empty.gif

	frame	data/chars/misc/element/fire1/13.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/14.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/15.gif
	frame	data/chars/misc/empty.gif

	frame	data/chars/misc/element/fire1/16.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/fire1/17.gif
	frame	data/chars/misc/empty.gif

	sound   data/sounds/super02.wav
	delay	1
	frame	data/chars/misc/element/fire1/18.gif

anim idle
	sync	walk
	shadowcoords 218 198
	loop	1
	 offset     225 198
	bbox	0 0 0 0

	delay	4
	frame	data/chars/misc/element/fire1/18.gif
	frame	data/chars/misc/element/fire1/19.gif
	frame	data/chars/misc/element/fire1/20.gif
	frame	data/chars/misc/element/fire1/21.gif
	frame	data/chars/misc/element/fire1/22.gif
	frame	data/chars/misc/element/fire1/23.gif
	frame	data/chars/misc/element/fire1/24.gif
	frame	data/chars/misc/element/fire1/25.gif

anim attack1
	range	0 200
	load		fire2
	subentity	fire2
	spawnframe	0 0 0 0 0
	shadowcoords 218 198
	loop	0
	 offset     225 198
	bbox	0 0 0 0

	delay	4
	frame	data/chars/misc/element/fire1/18.gif
	frame	data/chars/misc/element/fire1/19.gif
	frame	data/chars/misc/element/fire1/20.gif
	frame	data/chars/misc/element/fire1/21.gif
	frame	data/chars/misc/element/fire1/22.gif
	frame	data/chars/misc/element/fire1/23.gif
	frame	data/chars/misc/element/fire1/24.gif
	frame	data/chars/misc/element/fire1/25.gif


#----------------------------------------ATTACK 1----------------------------------------;

anim pain1
	shadowcoords 218 198
	loop	1
	 offset     225 198
	bbox	0 0 0 0

	delay	4
	frame	data/chars/misc/element/fire1/18.gif
	frame	data/chars/misc/element/fire1/19.gif
	frame	data/chars/misc/element/fire1/20.gif
	frame	data/chars/misc/element/fire1/21.gif
	frame	data/chars/misc/element/fire1/22.gif
	frame	data/chars/misc/element/fire1/23.gif
	frame	data/chars/misc/element/fire1/24.gif
	frame	data/chars/misc/element/fire1/25.gif

anim fall1
	shadowcoords 218 198
	loop	1
	 offset     225 198
	bbox	0 0 0 0

	delay	4
	frame	data/chars/misc/element/fire1/18.gif
	frame	data/chars/misc/element/fire1/19.gif
	frame	data/chars/misc/element/fire1/20.gif
	frame	data/chars/misc/element/fire1/21.gif
	frame	data/chars/misc/element/fire1/22.gif
	frame	data/chars/misc/element/fire1/23.gif
	frame	data/chars/misc/element/fire1/24.gif
	frame	data/chars/misc/element/fire1/25.gif

anim rise1
	shadowcoords 218 198
	loop	1
	 offset     225 198
	bbox	0 0 0 0

	delay	4
	frame	data/chars/misc/element/fire1/18.gif
	frame	data/chars/misc/element/fire1/19.gif
	frame	data/chars/misc/element/fire1/20.gif
	frame	data/chars/misc/element/fire1/21.gif
	frame	data/chars/misc/element/fire1/22.gif
	frame	data/chars/misc/element/fire1/23.gif
	frame	data/chars/misc/element/fire1/24.gif
	frame	data/chars/misc/element/fire1/25.gif

anim death1
	shadowcoords 218 198
	loop	0
	 offset     225 198
	bbox	0 0 0 0

	sound   data/sounds/super02.wav
	delay	2
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/17.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/16.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/15.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif

	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/14.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/13.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/12.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif

	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/11.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/10.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/09.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif

	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/08.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/07.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/06.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif

	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/05.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/04.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/03.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif

	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/02.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif
	shadowcoords 218 198
	frame	data/chars/misc/element/fire1/01.gif
	shadowcoords 9999 9999
	frame	data/chars/misc/empty.gif

#----------------------------------------ATTACK 1----------------------------------------;






