name				vampire
type				enemy
hostile				player npc
candamage			player npc
score				390 -1
health				128
speed				8
shadow				3
#aironly				1
noquake				1
dust				dust01
flash				flash01
#noatflash			1
bflash				guard01
cantgrab			1
notgrab				1
jumpheight			2
antigravity			40
blockodds			1
thold				49
#risetime 1000
nodieblink			1
falldie				2
jugglepoints		15
icon				data/chars/vampire/bicon.gif 1
icondie				data/chars/vampire/bicond.gif 1
diesound			data/sounds/vamp01.wav
nolife				1
takedamagescript	data/scripts/ndamage.c

#-------Boss
nolife				1
lifebarstatus		240 5 1 1 0 -300 -300 -300 -300
lifeposition		119 34 
nameposition		152 49
iconposition		0 0
#-------Boss

palette				data/chars/vampire/vampire.gif #1

remap	data/chars/vampire/idle00.gif   data/chars/vampire/alter01.gif
remap	data/chars/vampire/idle00.gif   data/chars/vampire/alter02.gif
remap	data/chars/vampire/idle00.gif   data/chars/vampire/alter03.gif

#-------Moves

anim spawn
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	subentity	dust01
	spawnframe	24 0 0 0 0
	loop	0
	delay	6
	offset     225 198
	bbox	0 0 0 0
	jumpframe  22 3 0
	dropframe  23
	landframe  24
	quakeframe 24 5 5

	sound   data/sounds/vamp02.wav
	delay	4
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/vampire/spawn00.gif
	frame	data/chars/misc/empty.gif
	
	frame	data/chars/vampire/spawn01.gif
	frame	data/chars/vampire/spawn02.gif
	
	delay	99
	frame	data/chars/vampire/spawn03.gif
	
	delay	99
	frame	data/chars/vampire/ju00.gif
	
	sound   data/sounds/fall02.wav
	delay	4
	frame	data/chars/vampire/jdel00.gif
	frame	data/chars/vampire/jdel00.gif
	frame	data/chars/vampire/jdel00.gif
	frame	data/chars/vampire/jdel00.gif
	frame	data/chars/vampire/jdel00.gif
	delay	6
	frame	data/chars/vampire/jdel00.gif

anim idle
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	1
	 offset     225 198
	bbox	212 117 30 81
	delay	12
	frame	data/chars/vampire/idle00.gif
	frame	data/chars/vampire/idle01.gif
	frame	data/chars/vampire/idle02.gif
	frame	data/chars/vampire/idle01.gif

anim walk
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	1
	offset     225 198
	bbox	212 117 30 81
	delay   12
	frame	data/chars/vampire/wk00.gif
	frame	data/chars/vampire/wk01.gif
	frame	data/chars/vampire/wk02.gif
	frame	data/chars/vampire/wk03.gif
	frame	data/chars/vampire/wk04.gif
	frame	data/chars/vampire/wk05.gif

anim block
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	subentity	dust01
	spawnframe	0 0 0 0 0
	loop	0
	delay	2
	bbox	0 0 0 0
	offset     225 198
	sound   data/sounds/block01.wav
@cmd projectile 1 "block" 0 0 0
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	delay	2
	move -8
	frame	data/chars/vampire/ma01.gif
	frame	data/chars/vampire/ma01.gif
	frame	data/chars/vampire/ma01.gif
	frame	data/chars/vampire/ma01.gif

anim attack1
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	range	0 120
	loop	0
	offset     225 198
	bbox	212 117 30 81
	hitfx   data/sounds/hit01.wav

	offset     225 198
	bbox	212 143 30 55

	delay	2
	sound   data/sounds/super02.wav
	frame	data/chars/vampire/ma02.gif
	sound   data/sounds/vamp02.wav
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif

	bbox	0 0 0 0

	delay	24
	frame	data/chars/vampire/a101.gif
	delay	4
	frame	data/chars/vampire/a102.gif
	sound   data/sounds/slash01.wav
	attack1  226 62 120 138 10 1 0 0 0
#	drain	{time}	{resource}	{amount}	{rate}
	drain	5		1 			2			1
	frame	data/chars/vampire/a103.gif
	frame	data/chars/vampire/a104.gif
	frame	data/chars/vampire/a105.gif
	frame	data/chars/vampire/a106.gif
	frame	data/chars/vampire/a107.gif
	frame	data/chars/vampire/a108.gif
	frame	data/chars/vampire/a109.gif
	frame	data/chars/vampire/a110.gif
	frame	data/chars/vampire/a111.gif
	delay	36
	attack1  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/vampire/a112.gif
	delay	4
	frame	data/chars/vampire/a112.gif
	frame	data/chars/vampire/a102.gif
	frame	data/chars/vampire/a112.gif
	frame	data/chars/vampire/a102.gif
	frame	data/chars/vampire/a112.gif
	frame	data/chars/vampire/a102.gif
	frame	data/chars/vampire/a112.gif
	frame	data/chars/vampire/a102.gif
	frame	data/chars/vampire/a112.gif
	frame	data/chars/vampire/a102.gif
	delay	24
	frame	data/chars/vampire/a102.gif


anim attack2
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	range		0 120
#	rangez		-25 25
	load		hurr2
	custknife	hurr2
	throwframe	28
	loop	0
	jugglecost	99
	hitfx   data/sounds/hit01.wav

	offset     225 198
	bbox	212 143 30 55

	delay	2
	sound   data/sounds/super02.wav
	frame	data/chars/vampire/ma02.gif
	sound   data/sounds/vamp02.wav
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif

	bbox	0 0 0 0
	delay	6
	frame	data/chars/vampire/a201.gif
	frame	data/chars/vampire/a202.gif

	delay	8
	frame	data/chars/vampire/a203.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif

	delay	4
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	delay	8
	frame	data/chars/vampire/a204.gif

	delay	4
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	delay	8
	frame	data/chars/vampire/a204.gif

	delay	4
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	delay	8
	frame	data/chars/vampire/a204.gif



anim attack3
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	range	0 160
	loop	0
	offset     225 198
	bbox	212 117 30 81
	hitfx   data/sounds/burn01.wav

	offset     225 198
	bbox	212 143 30 55

	delay	2
	sound   data/sounds/super02.wav
	frame	data/chars/vampire/ma02.gif
	sound   data/sounds/vamp02.wav
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif

	bbox	0 0 0 0

	delay	8
	frame	data/chars/vampire/a201.gif
	frame	data/chars/vampire/a202.gif
	frame	data/chars/vampire/a203.gif
	delay	4
	frame	data/chars/vampire/a204.gif
	sound   data/sounds/fbhit.wav
	attack5  226 84 160 115 10 1 0 0 0
	frame	data/chars/vampire/a205.gif
	frame	data/chars/vampire/a206.gif
	frame	data/chars/vampire/a207.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a208.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a209.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a210.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a211.gif
	delay	36
	attack5  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/vampire/a204.gif


anim attack4
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	range		0 200
	rangez		-25 25
	load		tornado2
	custknife	tornado2
	throwframe	28 1
	loop	0
	jugglecost	99
	hitfx   data/sounds/hit01.wav

	offset     225 198
	bbox	212 143 30 55

	delay	2
	sound   data/sounds/super02.wav
	frame	data/chars/vampire/ma02.gif
	sound   data/sounds/vamp02.wav
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif
	frame	data/chars/vampire/ma02.gif
	frame	data/chars/vampire/ma06.gif
	frame	data/chars/vampire/ma03.gif
	frame	data/chars/vampire/ma07.gif
	frame	data/chars/vampire/ma04.gif
	frame	data/chars/vampire/ma08.gif
	frame	data/chars/vampire/ma05.gif
	frame	data/chars/vampire/ma09.gif

	bbox	0 0 0 0
	delay	6
	frame	data/chars/vampire/a201.gif
	frame	data/chars/vampire/a202.gif

	delay	8
	frame	data/chars/vampire/a203.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif

	delay	4
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	delay	8
	frame	data/chars/vampire/a204.gif

	delay	4
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	delay	8
	frame	data/chars/vampire/a204.gif

	delay	4
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	frame	data/chars/vampire/a204.gif
	delay	8
	frame	data/chars/vampire/a204.gif

#----------------------------------------ATTACK 1----------------------------------------;

anim pain1
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	bbox	212 117 30 81

	delay   2
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	
	delay   2
	move	-3
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-2
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-2
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-1
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-1
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif

anim fall1
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	dropframe		1
	landframe		2
	loop	0
	 offset     225 198
	bbox	212 117 30 81
	sound   data/sounds/pdie1.wav
	delay   999
	frame	data/chars/vampire/fall01.gif
	frame	data/chars/vampire/fall02.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall02.wav
	frame	data/chars/vampire/fall02.gif
	delay	40
	frame	data/chars/vampire/rise00.gif

anim rise1
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

anim death1
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

	delay	50
	frame	data/chars/vampire/death00.gif
	
	delay	4
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif

	delay	50
	frame	data/chars/vampire/death01.gif
		
	delay	8
	frame	data/chars/vampire/death02.gif
	frame	data/chars/vampire/death03.gif
	frame	data/chars/vampire/death04.gif
	frame	data/chars/vampire/death05.gif

#----------------------------------------ATTACK 1----------------------------------------;


#----------------------------------------ATTACK 2----------------------------------------;

anim pain2
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	jumpframe	0 1.2 -1.7
	landframe	13
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	bbox	212 117 30 81

	delay   2
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     228 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	offset     222 198
	frame	data/chars/vampire/pain101.gif
	offset     225 198
	frame	data/chars/vampire/pain101.gif
	
	delay   999
	frame	data/chars/vampire/pain101.gif
	
	delay	12
	frame	data/chars/vampire/jdel00.gif

anim fall2
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	dropframe		1
	landframe		2
	loop	0
	 offset     225 198
	bbox	212 117 30 81
	sound   data/sounds/pdie1.wav
	delay   999
	frame	data/chars/vampire/fall01.gif
	frame	data/chars/vampire/fall02.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall02.wav
	frame	data/chars/vampire/fall02.gif
	delay	40
	frame	data/chars/vampire/rise00.gif

anim rise2
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

anim death2
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

	delay	50
	frame	data/chars/vampire/death00.gif
	
	delay	4
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif

	delay	50
	frame	data/chars/vampire/death01.gif
		
	delay	8
	frame	data/chars/vampire/death02.gif
	frame	data/chars/vampire/death03.gif
	frame	data/chars/vampire/death04.gif
	frame	data/chars/vampire/death05.gif


#----------------------------------------ATTACK 2----------------------------------------;

#----------------------------------------BURN ATTACK----------------------------------------;

anim pain3
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	subentity	dust01
	spawnframe	15 0 0 0 0
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
