name	Bknight
health	100
speed	10
type	enemy
shadow	2
noquake 1
dust    dust
cantgrab 1
aggression 8
bflash bflash
hostile player npc
candamage player npc
blockodds 3
thold     49
icon	data/chars/Bknight/icon.gif
icondie    data/chars/misc/icond.gif
diesound data/sounds/die1.wav
fmap 4

palette data/chars/Bknight/a101.gif
remap	data/chars/Bknight/a101.gif   data/chars/Bknight/walk1.gif
remap	data/chars/Bknight/a101.gif   data/chars/Bknight/walk2.gif
remap	data/chars/Bknight/a101.gif   data/chars/Bknight/walk3.gif
remap	data/chars/Bknight/a101.giff   data/chars/Bknight/freeze.gif



anim	attack1
	drawmethod	310	310
	range	0 60
	loop	0
	delay	18
	offset	52 81
	bbox	35 25 40 70
	sound	data/sounds/punch1.wav
	frame	data/chars/Bknight/a101.gif
	delay	6
	offset	46 101
	frame	data/chars/Bknight/a102.gif
	offset	34 77
	frame	data/chars/Bknight/a103.gif
	attack	65 50 78 50 12 1 0 0 12
	offset	43 94
	frame	data/chars/Bknight/a104.gif
	delay	35
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Bknight/a104.gif
		
anim	backwalk
	drawmethod	300	300
	loop	1
	offset	24 92
	bbox	15 35 40 70
	delay	11
	frame	data/chars/Bknight/walk1.gif
	offset	32 94
	frame	data/chars/Bknight/walk2.gif
	offset	35 99
	frame	data/chars/Bknight/walk3.gif
	offset	31 91
	frame	data/chars/Bknight/walk4.gif
	offset	23 91
	frame	data/chars/Bknight/walk5.gif
	offset	25 90
	frame	data/chars/Bknight/walk6.gif
		
anim	block
	drawmethod	300	300
	loop	0
	delay	3
	offset	40 65
	bbox	55 45 40 70
	move	-10
	sound	data/sounds/guard.wav
	frame	data/chars/Bknight/block.gif
	offset	40 65
	frame	data/chars/Bknight/block.gif
	offset	40 65
	move	-8
	frame	data/chars/Bknight/block.gif
	offset	40 65
	frame	data/chars/Bknight/block.gif
	offset	40 65
	move	-6
	frame	data/chars/Bknight/block.gif
	offset	40 65
	frame	data/chars/Bknight/block.gif
	move	-4
	offset	40 65
	frame	data/chars/Bknight/block.gif
	offset	40 65
	frame	data/chars/Bknight/block.gif
	offset	40 65
