name	RASH_B
health	500
speed	9
type	Enemy
aimove	chase
gfxshadow 1
grabdistance	40
running 19	3	2.80	1	1
icon	 data/chars/rash/Icon-A.gif
iconget  data/chars/rash/Icon-B.gif
iconpain data/chars/rash/Icon-C.gif
icondie  data/chars/rash/Icon-D.gif
makeinv  4
riseinv  1
dust   dust
hostile Player npc Enemy
candamage enemy npc Player
aggression 20
animationscript data/scripts/escript.c



anim	attack1
	range	0 60
	delay	2
	followanim	5
	followcond	3
	offset	88 195
	bbox	82 145 20 50
	frame	data/chars/rash/a1.gif
	@cmd	attack1 0 60 50 250 "ANI_FOLLOW1"
	@cmd	attack1 0 60 -250 -20 "ANI_FOLLOW4"
	frame	data/chars/rash/a1.gif
	sound	data/chars/rash/p1.wav
	frame	data/chars/rash/a2.gif
	frame	data/chars/rash/a3.gif
	attack	95 140 35 25 1 0 0 0 9
	frame	data/chars/rash/a4.gif
	move	1
	attack	0 0 0 0 0
	frame	data/chars/rash/a4.gif
	move	0
	frame	data/chars/rash/a4.gif
	frame	data/chars/rash/a4.gif
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif

anim	attack2
	range	60 150
	delay	3
	offset	88 195
	bbox	82 145 10 50
	jumpframe	2 0 3
	frame	data/chars/rash/ra1.gif
	@cmd	attack1 60 150 50 250 "ANI_FOLLOW1"
	@cmd	attack1 60 150 -250 -10 "ANI_FOLLOW8"
	frame	data/chars/rash/ra1.gif
	frame	data/chars/rash/ra2.gif
	sound	data/chars/rash/runa.wav
	frame	data/chars/rash/ra2.gif
	frame	data/chars/rash/ra3.gif
	frame	data/chars/rash/ra3.gif
	dropv	2 4 0
	delay	18
		blast  97  103  47  100  15  0  0  35
	frame	data/chars/rash/ra4.gif
	attack	0 0 0 0 0
	frame	data/chars/rash/ra4.gif
	delay	5
	frame	data/chars/rash/ra4.gif
	frame	data/chars/rash/ra1.gif
	frame	data/chars/rash/ra1.gif

anim	bpain
	loop	0
	delay	6
	offset	90 192
	bbox	65 102 46 76
	sound	data/chars/rash/pain.wav
	frame	data/chars/rash/fall4.gif
	offset	87 192
	frame	data/chars/rash/fall4.gif
	offset	89 192
	frame	data/chars/rash/fall4.gif
	offset	87 192
	frame	data/chars/rash/fall4.gif
	offset	89 192
	frame	data/chars/rash/fall4.gif
	offset	87 192
	frame	data/chars/rash/fall4.gif
	offset	89 192
	frame	data/chars/rash/fall4.gif
	offset	87 192
	frame	data/chars/rash/fall4.gif
	offset	89 192
	delay	50
	frame	data/chars/rash/fall4.gif

anim	fall
	loop	0
	offset	88 195
	delay	60
	@cmd	platform 1
	sound	data/chars/rash/fall.wav
	bbox	65 129 62 60
	frame	data/chars/rash/fall1.gif
	delay	40
	bbox	0
	frame	data/chars/rash/fall4.gif

anim	follow1
	delay	1
	jumpframe	1 5 1
	landframe	11
	offset	88 195
	bbox	82 125 20 50
	frame	data/chars/rash/j1.gif
	delay	10
	frame	data/chars/rash/j1.gif
	offset	88 180
	frame	data/chars/rash/jr1.gif
	sound	data/chars/rash/p1.wav
	frame	data/chars/rash/jr2.gif
	attack	80 140 60 45 20 1 0 0 35
	frame	data/chars/rash/jr2.gif
	frame	data/chars/rash/jr3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/rash/jr4.gif
	frame	data/chars/rash/jr1.gif
	attack	80 140 60 45 20 1 0 0 35
	frame	data/chars/rash/jr5.gif
	frame	data/chars/rash/jr6.gif
	attack	0 0 0 0 0 0
	frame	data/chars/rash/jr7.gif
	delay	15
	offset	88 195
	frame	data/chars/rash/rise2.gif

anim	follow4
	delay	1
	landframe	8
	offset	88 202
	bbox	82 125 20 50
	frame	data/chars/rash/a93.gif
	delay	8
	@cmd	platform 0
	sound	data/chars/rash/p1.wav
	frame	data/chars/rash/a93.gif
	offset	88 195
	frame	data/chars/rash/ja1.gif
	@cmd	platform 1
		attack2  85  126  46  40  10  0  0  0  15
	frame	data/chars/rash/ja2.gif

	frame	data/chars/rash/ja2.gif

	frame	data/chars/rash/ja3.gif

	frame	data/chars/rash/ja3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/rash/j1.gif
	delay	15
	frame	data/chars/rash/rise2.gif

anim	follow5
	delay	4
	followanim	6
	followcond	3
	offset	88 195
	bbox	82 145 20 50
	frame	data/chars/rash/a4.gif
	frame	data/chars/rash/a4.gif
	frame	data/chars/rash/a1.gif
	delay	3
	sound	data/chars/rash/p2.wav
	frame	data/chars/rash/a5.gif
	move	1
	frame	data/chars/rash/a6.gif
	attack	95 140 40 25 2 0 0 0 1
	frame	data/chars/rash/a7.gif
	attack	0 0 0 0 0
	frame	data/chars/rash/a7.gif
	frame	data/chars/rash/a7.gif
	frame	data/chars/rash/a7.gif
	move	0
	frame	data/chars/rash/a6.gif
	frame	data/chars/rash/a5.gif

anim	follow6
	delay	9
	offset	88 195
	bbox	82 145 20 50
	move	3
	frame	data/chars/rash/a7.gif
	delay	3
	move	0
	frame	data/chars/rash/a6.gif
	frame	data/chars/rash/a5.gif
	delay	4
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a8.gif
	move	1
	sound	data/chars/rash/p3.wav
		attack3  95  140  56  49  30  0  0  0  20
	frame	data/chars/rash/a9.gif

	frame	data/chars/rash/a9.gif

	frame	data/chars/rash/a91.gif
	attack	0 0 0 0 0 0
	frame	data/chars/rash/a91.gif
	frame	data/chars/rash/a92.gif
	frame	data/chars/rash/a92.gif
	move	0
	frame	data/chars/rash/a93.gif
	frame	data/chars/rash/a93.gif
	frame	data/chars/rash/a92.gif

anim	follow8
	delay	1
	jumpframe	1 0 3 0
	landframe	7
	offset	88 202
	bbox	82 125 20 50
	frame	data/chars/rash/a93.gif
	delay	8
	@cmd	platform 0
	sound	data/chars/rash/p1.wav
	frame	data/chars/rash/a93.gif
	offset	88 180
	frame	data/chars/rash/jr1.gif
	delay	25
	@cmd	platform 1
	attack	80 140 60 45 20 1 0 0 35
	frame	data/chars/rash/jr5.gif
	delay	8
	frame	data/chars/rash/jr6.gif
	attack	0 0 0 0 0 0
	frame	data/chars/rash/jr7.gif
	offset	88 195
	frame	data/chars/rash/j1.gif
	delay	15
	frame	data/chars/rash/rise2.gif

anim	get
	offset	88 195
	delay	10
	frame	data/chars/rash/get.gif

anim	grab
	delay	100
	offset	88 195
	bbox	82 145 20 50
	frame	data/chars/rash/grab.gif

anim	grabattack
	delay	3
	offset	88 195
	bbox	0 0 0 0
	frame	data/chars/rash/grab.gif
	frame	data/chars/rash/grab.gif
	frame	data/chars/rash/ga1.gif
	sound	data/chars/rash/p2.wav
	shock	92 140 30 25 2
