name	     Codya
type	     none
shadow	     0
candamage   enemy obstacle
animationscript data/scripts2/script.c



anim	follow
	loop	0
	delay	45
	offset	32 76
	@cmd	stop()
	frame	data/chars/Cody/a2.gif
	@cmd	suicide()
	frame	data/chars/Cody/a2.gif
		
anim	idle
	followanim	1
	followcond	1
	hitfx	data/sounds/bukk.wav
	attack	8 1 57 78 16 1 1 0 45 15
	dropv	5 3 0
	loop	1
	delay	6
	offset	33 78
	move	41
	frame	data/chars/Cody/a1.gif
	frame	data/chars/Cody/a1.gif
		
#|edited by openBor Stats v 0.51
		
