
name	  draven
health 	 100
speed	 13
running	22	4	2	1	1
type	  player
shadow	  0
gfxshadow 1
icon	  data/chars/draven/icon.gif
diesound    data/sounds/marvel/sysdown.wav

palette	data/chars/draven/pal.gif

animationscript data/scripts/spawns.c
alternatepal	data/chars/draven/testpal.gif

load	wolf
bomb	wolf

load	x
load	ball




anim	attack1
	range	5 50
	loop	0
	delay	5
	offset	20 104
	custknife	ball
	throwframe	3
	bbox	34 18 37 94
	sound	data/chars/ghost/sounds/punch5.wav
	frame	data/chars/draven/2spec1.gif
	offset	34 106
	frame	data/chars/draven/2spec2.gif
	offset	88 125
	frame	data/chars/draven/2spec3.gif
	offset	78 110
	frame	data/chars/draven/2spec4.gif
	offset	81 113
	frame	data/chars/draven/2spec5.gif
	offset	47 110
	frame	data/chars/draven/2spec8.gif
		
anim	attack2
	range	5 40
	loop	0
	delay	7
	custknife	ball
	throwframe	2
	bbox	41 11 31 93
	sound	data/chars/burnking/sounds/punch.wav
	offset	34 106
	frame	data/chars/draven/2spec2.gif
	offset	75 124
	frame	data/chars/draven/2spec6.gif
	offset	74 120
	frame	data/chars/draven/2spec7.gif
	offset	47 110
	frame	data/chars/draven/2spec8.gif
		
anim	attack3
	range	5 90
	loop	0
	delay	8
	offset	63 106
	bbox	37 35 35 88
	sound	data/chars/burnking/sounds/kick1.wav
	frame	data/chars/han/3atk1.gif
	offset	0 121
	frame	data/chars/han/3atk2.gif
	offset	20 132
	frame	data/chars/han/3atk3.gif
	attack	51 2 146 122 25 1
	offset	0 132
	frame	data/chars/han/3atk4.gif
	offset	0 40
	frame	data/chars/han/3atk5.gif
	offset	0 59
	frame	data/chars/han/3atk6.gif
	offset	0 102
	frame	data/chars/han/3atk7.gif
	attack	0 0 0 0 0
		
anim	fall
	loop	0
	offset	46 83
	delay	20
	frame	data/chars/draven/fall1.gif
	offset	51 74
	frame	data/chars/draven/fall2.gif
	offset	43 98
	frame	data/chars/draven/fall3.gif
	offset	51 24
	frame	data/chars/draven/fall4.gif
		
anim	freespecial
	loop	0
	offset	126 84
	delay	5
	sound	data/sounds/jump2.wav
	move	20
	attack	19 7 123 87 15
	frame	data/chars/ironman/3spec1.gif
	offset	159 84
	frame	data/chars/ironman/3spec2.gif
	offset	113 83
	frame	data/chars/ironman/3spec3.gif
	offset	162 83
	frame	data/chars/ironman/3spec4.gif
	frame	data/chars/ironman/3spec4.gif
	offset	55 79
	delay	10
	frame	data/chars/ironman/3spec5.gif
		
anim	freespecial2
	range	5 50
	loop	0
	delay	5
	offset	44 116
	tossframe	4
	bbox	34 18 37 94
	sound	data/chars/ghost/sounds/punch5.wav
	frame	data/chars/draven/atk1.gif
	offset	57 114
	frame	data/chars/draven/atk2.gif
	offset	56 114
	frame	data/chars/draven/atk3.gif
	offset	33 115
	frame	data/chars/draven/atk4.gif
	offset	20 115
	frame	data/chars/draven/atk5.gif
	frame	data/chars/draven/atk6.gif
	offset	21 113
	frame	data/chars/draven/atk7.gif
		
anim	freespecial3
	range	5 90
	loop	0
	delay	7
	offset	34 291
	bbox	37 35 35 88
	sound	data/sounds/marvel/gfire.wav
	frame	data/chars/han/hspec1.gif
	frame	data/chars/han/hspec2.gif
	frame	data/chars/han/hspec3.gif
	attack	98 23 133 100 20
	frame	data/chars/han/hspec4.gif
	frame	data/chars/han/hspec5.gif
	attack	0 0 0 0 0 0
	frame	data/chars/han/hspec6.gif
	attack	98 23 387 102 15
	move	15
	frame	data/chars/han/hspec7.gif
	attack	0 0 0 0 0
	frame	data/chars/han/hspec8.gif
	attack	98 23 387 102 15
	frame	data/chars/han/hspec9.gif
	attack	0 0 0 0 0
	frame	data/chars/han/hspec10.gif
	attack	98 23 387 102 20 1
	frame	data/chars/han/hspec11.gif
	attack	0 0 0 0 0
	attack	98 23 387 102 20 1
	frame	data/chars/han/hspec12.gif
	attack	0 0 0 0 0
	attack	98 23 387 102 25 1
	frame	data/chars/han/hspec13.gif
	frame	data/chars/han/hspec14.gif
	frame	data/chars/han/hspec15.gif
	frame	data/chars/han/hspec16.gif
	frame	data/chars/han/hspec17.gif
