name	    		Dean
type	    		player
health	    		120
mp          		100
nolife				1
hostile				enemy
candamage			enemy player obstacle
speed	    		9
jumpspeed	    	10
jumpheight   		3.3
#jumpmove 			3
turndelay 			12
mprate				1
grabdistance		20
grabfinish			1
grabback			0
antigravity 		10
bounce				1
noquake     		1
shadow	    		3
diesound    		data/chars/dean/dean05.wav
flash 				flash
bflash 				guard
dust    			dust01
toflip				1
nodieblink			1
makeinv     		5 0 
falldie 			2
riseinv 			1 1
atchain     		1 1 2 3
jugglepoints		15
animationscript		data/scripts/player.c

load				wave
#load				friver

com  d u a  		freespecial2
com  d f a  		freespecial3
com  d f d f a  	freespecial5


icon	      		data/chars/dean/icon.gif 1
icondie     		data/chars/dean/icond.gif 1

parrow		data/chars/misc/parrow/01.gif -215 -185
parrow2		data/chars/misc/parrow/02.gif -215 -185
parrow3		data/chars/misc/parrow/03.gif -215 -185
parrow4		data/chars/misc/parrow/04.gif -215 -185

palette 			data/chars/dean/pal/pal01.gif #1
alternatepal		data/chars/dean/pal/pal02.gif #2
alternatepal		data/chars/dean/pal/pal03.gif #3
alternatepal		data/chars/dean/pal/pal04.gif #4
alternatepal		data/chars/dean/pal/pal05.gif #5
alternatepal		data/chars/dean/pal/pal06.gif #6
alternatepal		data/chars/dean/pal/pal07.gif #7
alternatepal		data/chars/dean/pal/pal08.gif #8
alternatepal		data/chars/dean/pal/pal09.gif #9
alternatepal		data/chars/dean/pal/pal10.gif #10

#	weapons     	fighter1 fighter2 fighter3

#-------Select screen!

anim waiting
	 loop       1
	 offset     1 1
	 delay      4
       frame      data/chars/dean/sel01.gif
       frame      data/chars/dean/sel02.gif

anim select
	 loop       0
	 offset     1 1

	 sound   	data/sounds/choose.wav
	 delay      3
       frame      data/chars/dean/sel03.gif
       frame      data/chars/dean/sel04.gif
	 sound   	data/sounds/punch.wav
       frame      data/chars/dean/sel05.gif
       frame      data/chars/dean/sel04.gif
	 delay      5
       frame      data/chars/dean/sel03.gif

	 delay      3
       frame      data/chars/dean/sel03.gif
       frame      data/chars/dean/sel04.gif
	 sound   	data/sounds/punch.wav
       frame      data/chars/dean/sel05.gif
       frame      data/chars/dean/sel04.gif
	 delay      5
       frame      data/chars/dean/sel03.gif

       frame      data/chars/dean/sel06.gif
       frame      data/chars/dean/sel07.gif
	 sound   	data/sounds/punch.wav
	 delay      3
       frame      data/chars/dean/sel08.gif
       frame      data/chars/dean/sel09.gif
       frame      data/chars/dean/sel10.gif
       frame      data/chars/dean/sel13.gif
       frame      data/chars/dean/sel11.gif
       frame      data/chars/dean/sel09.gif
       frame      data/chars/dean/sel12.gif
       frame      data/chars/dean/sel13.gif

	 sound   	data/chars/dean/dean01.wav
	 delay      100
       frame      data/chars/dean/sel08.gif


#-------Moves

anim spawn
	loop       0
	 offset     238 177
	delay   3
     @cmd setLevel
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif
	frame	data/chars/dean/idle01.gif

anim idle
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
       frame      data/chars/dean/idle01.gif

anim walk
	 loop       1
	 offset     238 177
	 bbox		226 102 23 76
	 delay      11
       frame      data/chars/dean/walk01.gif
       frame      data/chars/dean/walk02.gif
       frame      data/chars/dean/walk03.gif
       frame      data/chars/dean/walk04.gif
       frame      data/chars/dean/walk05.gif
       frame      data/chars/dean/walk06.gif
       frame      data/chars/dean/walk07.gif
       frame      data/chars/dean/walk08.gif

anim get
	 loop       0
	 offset     238 177
	 delay      30
       frame      data/chars/dean/get01.gif

anim attack1
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			4 		1 		d u a 			freespecial2
	cancel 	0 			4 		1 		d f a 			freespecial3
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/dean/a101.gif
       frame      data/chars/dean/a102.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 	115 	61 		63 		6 		0 		0 		0 		25		15
       frame      data/chars/dean/a103.gif
