# Boat
music		data/music/tayou.bor 1
rock		1

background	data/bgs/boat/back2.gif

panel		data/bgs/boat/p00a.gif	none	data/bgs/boat/s00.gif
panel		data/bgs/boat/p01b.gif
panel		data/bgs/boat/p02c.gif	none	data/bgs/boat/s02.gif

frontpanel	data/bgs/boat/front.gif

order	abcabcabcabcabcabcabcabc

#----------------------
spawn	tesouro	
coords	520 135 
at	0

# ---------------------
group	100 100
at	0

spawn	Ralf
alias	Rolf
map	2
coords	380 220
at	10

spawn	Ralf
map	1
coords	-30 220
at	10


spawn	Joe
alias	Sparrow
map	1
health	110
coords	380 220
at	250

spawn	Joe
alias	Parrot
map	2
health	150
coords	380 160
at	250

spawn	Joe
alias	Stork
map	3
health	110
coords	390 200
at	250

spawn	Box
flip	1
item	meat
coords	380 161
at	350

spawn	Box
flip	1
2pitem	meat
coords	450 160
at	350


spawn	lipsy
coords	-30 230
at	700

spawn	lipsy
map	2
coords	380 230
at	700

spawn	lipsy
map	1
coords	-30 170
at	700


spawn	armagon
coords	380 170
map 2
at	900

spawn	armagon
coords	380 230
at	900


spawn	Ralf
coords	380 230
at	1400

spawn	Ralf
alias	Matlock
map	1
coords	380 190
at	1400


wait
at	1800

group	2 2
at	1200

spawn	lipsy
map	3
coords	-30 230
at	1800

spawn	lipsy
coords	-30 160
at	1800

spawn	wingnut
map	3
coords	380 230
at	1800

spawn	wingnut
map	2
coords	380 170
at	1800

spawn	Ralf
map  1
coords	-30 220
at	1800

spawn	Ralf
coords	-30 160
at	1800

group	3 3
at	1800

spawn	lipsy
map	2
coords	380 200
at	1800

spawn	lipsy
coords	380 160
at	1800

spawn	war
map	3
coords	-30 160
at	1800

group	2 2
at	1800

spawn	lipsy
map	3
coords	380 230
at	1800

spawn	war
map	1
coords	-30 210
at	1800


spawn	armagon
map	2
coords	-30 230
at	1800

#-----------------
group	100 100
at	1850

spawn	Box
flip	1
item	apple
coords	380 200
at	1900

spawn	Box
flip	1
item	apple
coords	390 220
at	1900

spawn	Ralf
map	1
coords	380 160
at	1900

spawn	arremer
map	1
coords	380 180
at	1910

spawn	zedd
#map	1
coords	-30 160
at	1910


spawn	war
map	1
coords	380 160
at	2350

spawn	war
map	1
coords	-30 160
at	2350

spawn	war
coords	-30 220
at	2350

wait
at	2500
