name	Caprcorn
health	350
speed	6
type	enemy
shadow  5
icon	   data/chars/Caprcorn/icon.gif
iconpain   data/chars/Caprcorn/iconP.gif
icondie    data/chars/Caprcorn/iconD.gif
nodrop	1
dust   dust
escapehits 5
candamage Enemy Player
palette       data/chars/Caprcorn/Pal
alternatepal  data/chars/Caprcorn/FreezeM.gif
fmap 1


anim idle
	loop	1
	offset	118 118
	bbox	94 52 48 64
	delay	15
	frame	data/chars/Caprcorn/idle0.gif
	frame	data/chars/Caprcorn/idle1.gif
	frame	data/chars/Caprcorn/idle2.gif
	frame	data/chars/Caprcorn/idle1.gif

anim walk
	loop	1
	offset	118 118
	bbox	91 33 56 83
	delay   11
	frame	data/chars/Caprcorn/Walk0.gif
	frame	data/chars/Caprcorn/Walk1.gif
	frame	data/chars/Caprcorn/Walk2.gif
	frame	data/chars/Caprcorn/Walk3.gif
	frame	data/chars/Caprcorn/Walk4.gif
	frame	data/chars/Caprcorn/Walk5.gif


anim jump
	loop	0
	range   75  70
	offset	118 118
	bbox	96 48 47 66
	delay   11
	frame	data/chars/Caprcorn/idle0.gif

anim pain
	loop	0
	delay	10
	offset	118 118
	bbox	92 32 48 85
        sound   data/chars/rat_/pain.wav
	frame	data/chars/Caprcorn/Pain0.gif
	frame	data/chars/Caprcorn/Pain1.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/Pain1.gif
	frame	data/chars/Caprcorn/Pain0.gif

anim BPAIN
	loop	0
        sound   data/chars/rat_/pain.wav
	offset	118 118
	delay	3
	bbox	92 32 48 85
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif

anim SPAIN
	loop	0
        sound   data/chars/rat_/pain.wav
	offset	118 118
	delay	3
	bbox	92 32 48 85
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
