name	Galsia
health	200
speed	8
grabdistance 19
type	enemy
shadow	3
nodieblink 0
throw 3 3
projectilehit obstacle enemy npc
hostile player npc
candamage obstacle player npc
noquake 0
risetime 130
dust    dust
icon	data/chars/galsia/icono.gif 1

diesound data/sounds/die1.wav


remap	data/chars/galsia/punch1.gif data/chars/galsia/alt1.gif
remap	data/chars/galsia/punch1.gif data/chars/galsia/alt2.gif
remap	data/chars/galsia/punch1.gif data/chars/galsia/alt3.gif
remap	data/chars/galsia/punch1.gif data/chars/galsia/alt4.gif
remap	data/chars/galsia/punch1.gif data/chars/galsia/alt5.gif
remap	data/chars/galsia/punch1.gif data/chars/galsia/alt6.gif
remap	data/chars/galsia/punch1.gif data/chars/galsia/alt7.gif

score   5 5


anim	attack1
	range	10 70
	loop	0
	delay	20
	offset	26 73
	bbox	13 16 30 55
	frame	data/chars/galsia/punch.gif
	attack	37 18 35 54 10 0 0 0 0 10
	DropV	1 2
	offset	25 72
	frame	data/chars/galsia/punch1.gif
		
anim	fall
	loop	0
	delay	40
	offset	31 80
	landframe	2
	bbox	7 20 51 59
	attack3	6 20 52 61 10 0 0 0 0 20
	DropV	1 3
	frame	data/chars/galsia/ko1.gif
	delay	200
	frame	data/chars/galsia/ko1.gif
	delay	40
	offset	44 21
	bbox	0
	Attack1	0
	frame	data/chars/galsia/ko2.gif
		
anim	grabbed
	loop	0
	delay	3
	offset	28 59
	bbox	18 2 24 55
	frame	data/chars/galsia/hurt.gif
		
anim	idle
	loop	0
	offset	27 72
	bbox	19 5 26 64
	frame	data/chars/galsia/idle.gif
		
anim	pain
	loop	0
	offset	34 66
	bbox	15 11 28 55
	delay	20
	frame	data/chars/galsia/hurt2.gif
	delay	10
	offset	30 59
	bbox	18 2 24 55
	frame	data/chars/galsia/hurt.gif
		
anim	pain2
	loop	0
	offset	34 66
	bbox	15 11 28 55
	delay	3
	quakeframe	0 3 4
	Move	-3
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	Move	-2
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	Move	-1
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	Move	0
	delay	8
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
		
anim	pain3
	loop	0
	offset	34 66
	bbox	15 11 28 55
	delay	2
	quakeframe	0 3 4
	Jumpframe	0 2 0
	Landframe	14
	Move	-5
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	Move	-4
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	Move	-3
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	Move	-2
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	Move	-1
	frame	data/chars/galsia/hurt2.gif
	delay	100
	frame	data/chars/galsia/hurt2.gif
	Move	0
	delay	2
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	delay	10
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
		
anim	pain4
	loop	0
	delay	6
	offset	44 21
	bbox	10 7 70 15
	frame	data/chars/galsia/ko2.gif
	offset	46 21
	frame	data/chars/galsia/ko2.gif
	offset	44 21
	frame	data/chars/galsia/ko2.gif
	offset	46 21
	frame	data/chars/galsia/ko2.gif
	offset	44 21
	frame	data/chars/galsia/ko2.gif
	offset	46 21
	frame	data/chars/galsia/ko2.gif
	offset	44 21
	frame	data/chars/galsia/ko2.gif
	offset	46 21
	frame	data/chars/galsia/ko2.gif
	offset	44 21
	delay	50
	frame	data/chars/galsia/ko2.gif
	bbox	0
	offset	37 32
	delay	20
	frame	data/chars/galsia/rise.gif
	offset	23 41
	frame	data/chars/galsia/rise1.gif
		
anim	pain5
	loop	0
	offset	34 66
	bbox	15 11 28 55
	jumpframe	0 3 0
	delay	3
	quakeframe	0 3 4
	frame	data/chars/galsia/hurt2.gif
	delay	2
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	delay	9
	frame	data/chars/galsia/hurt2.gif
		
anim	pain6
	loop	0
	offset	34 66
	bbox	15 11 28 55
	jumpframe	0 3 -1.5
	delay	3
	quakeframe	0 3 4
	frame	data/chars/galsia/hurt2.gif
	delay	2
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	frame	data/chars/galsia/hurt2.gif
	delay	9
	frame	data/chars/galsia/hurt2.gif
		
anim	rise
	loop	0
	offset	37 32
	delay	20
	frame	data/chars/galsia/rise.gif
	offset	23 41
	frame	data/chars/galsia/rise1.gif
		
anim	walk
	loop	1
	delay	11
	offset	26 72
	bbox	12 11 29 61
	frame	data/chars/Galsia/walk1.gif
	bbox	10 11 27 62
	offset	23 72
	frame	data/chars/galsia/walk2.gif
	delay	11
	offset	26 72
	bbox	12 11 29 61
	frame	data/chars/Galsia/walk1.gif
	offset	29 72
	bbox	15 13 29 58
	frame	data/chars/galsia/walk3.gif
		
#|edited by openBor Stats v 0.43
		
