name	       Tron_Bonne
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
hitflash	flash
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts/toad.c


icon           data/chars/Tron/icon.gif





anim	attack1
	loop	0
	delay	6
	offset	155 155
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Tron/attack1.gif
	frame	data/Chars/Tron/attack2.gif
	frame	data/Chars/Tron/attack3.gif
	frame	data/Chars/Tron/attack4.gif
	frame	data/Chars/Tron/attack5.gif
	frame	data/Chars/Tron/attack6.gif
	frame	data/Chars/Tron/attack7.gif
	frame	data/Chars/Tron/attack8.gif
	frame	data/Chars/Tron/attack9.gif
	frame	data/Chars/Tron/attack10.gif
	frame	data/Chars/Tron/attack11.gif
	frame	data/Chars/Tron/attack12.gif
	frame	data/Chars/Tron/attack13.gif
	frame	data/Chars/Tron/attack14.gif
	frame	data/Chars/Tron/attack15.gif
	frame	data/Chars/Tron/attack16.gif
	frame	data/Chars/Tron/attack17.gif
	frame	data/Chars/Tron/attack18.gif
		
anim	attack2
	loop	0
	delay	6
	offset	155 155
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Tron/bttack1.gif
	frame	data/Chars/Tron/bttack2.gif
	frame	data/Chars/Tron/bttack3.gif
	frame	data/Chars/Tron/bttack4.gif
	frame	data/Chars/Tron/bttack5.gif
	frame	data/Chars/Tron/bttack6.gif
	frame	data/Chars/Tron/bttack7.gif
	frame	data/Chars/Tron/bttack8.gif
	frame	data/Chars/Tron/bttack9.gif
	frame	data/Chars/Tron/bttack10.gif
	frame	data/Chars/Tron/bttack11.gif
		
anim	attack3
	loop	0
	delay	6
	offset	155 155
	hitfx	data/Chars/Rogue/hit.wav
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Tron/cttack1.gif
	frame	data/Chars/Tron/cttack2.gif
	frame	data/Chars/Tron/cttack3.gif
	frame	data/Chars/Tron/cttack4.gif
	frame	data/Chars/Tron/cttack5.gif
	frame	data/Chars/Tron/cttack6.gif
	frame	data/Chars/Tron/cttack7.gif
	frame	data/Chars/Tron/cttack8.gif
	frame	data/Chars/Tron/cttack9.gif
	frame	data/Chars/Tron/cttack10.gif
	frame	data/Chars/Tron/cttack11.gif
		
anim	attack4
	loop	0
	delay	6
	offset	155 155
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Tron/dttack1.gif
	frame	data/Chars/Tron/dttack2.gif
	frame	data/Chars/Tron/dttack3.gif
	frame	data/Chars/Tron/dttack4.gif
	frame	data/Chars/Tron/dttack5.gif
	frame	data/Chars/Tron/dttack6.gif
	frame	data/Chars/Tron/dttack7.gif
	frame	data/Chars/Tron/dttack8.gif
	frame	data/Chars/Tron/dttack9.gif
	frame	data/Chars/Tron/dttack10.gif
	frame	data/Chars/Tron/dttack11.gif
		
anim	attack5
	loop	0
	delay	6
	offset	155 155
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Tron/ettack1.gif
	frame	data/Chars/Tron/ettack2.gif
	frame	data/Chars/Tron/ettack3.gif
	frame	data/Chars/Tron/ettack4.gif
	frame	data/Chars/Tron/ettack5.gif
	frame	data/Chars/Tron/ettack6.gif
	frame	data/Chars/Tron/ettack7.gif
	frame	data/Chars/Tron/ettack8.gif
	frame	data/Chars/Tron/ettack9.gif
	frame	data/Chars/Tron/ettack10.gif
	frame	data/Chars/Tron/ettack11.gif
		
anim	fall
	loop	0
	offset	150 150
	delay	25
	frame	data/Chars/Tron/fall1.gif
	frame	data/Chars/Tron/fall2.gif
	frame	data/Chars/Tron/fall3.gif
	frame	data/Chars/Tron/fall4.gif
		
anim	freespecial
	loop	0
	offset	155 155
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Tron/anew1.gif
	frame	data/Chars/Tron/anew2.gif
	frame	data/Chars/Tron/anew3.gif
	frame	data/Chars/Tron/anew4.gif
	frame	data/Chars/Tron/anew5.gif
	frame	data/Chars/Tron/anew6.gif
	frame	data/Chars/Tron/anew7.gif
	frame	data/Chars/Tron/anew8.gif
	frame	data/Chars/Tron/anew9.gif
	frame	data/Chars/Tron/anew10.gif
	frame	data/Chars/Tron/anew11.gif
	frame	data/Chars/Tron/anew12.gif
		
anim	freespecial3
	loop	0
	offset	155 155
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Tron/cnew1.gif
	frame	data/Chars/Tron/cnew2.gif
	frame	data/Chars/Tron/cnew3.gif
	frame	data/Chars/Tron/cnew4.gif
	frame	data/Chars/Tron/cnew5.gif
	frame	data/Chars/Tron/cnew6.gif
	frame	data/Chars/Tron/cnew7.gif
	frame	data/Chars/Tron/cnew8.gif
	frame	data/Chars/Tron/cnew9.gif
	frame	data/Chars/Tron/cnew10.gif
	frame	data/Chars/Tron/cnew11.gif
	frame	data/Chars/Tron/cnew12.gif
		
anim	freespecial4
@script
    void vSelf = getlocalvar("self");

    if(frame==1){
      int  iTime = openborvariant("elapsed_time");

      changeentityproperty(vSelf, "velocity", 0, 0 , 0); // This is to stop entity from moving forward
      changeentityproperty(vSelf, "tosstime", iTime + 140);
    }
	loop	0
	offset	155 155
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Tron/dnew1.gif
	frame	data/Chars/Tron/dnew2.gif
	frame	data/Chars/Tron/dnew3.gif
	frame	data/Chars/Tron/dnew4.gif
	frame	data/Chars/Tron/dnew5.gif
	frame	data/Chars/Tron/dnew6.gif

	anim	freespecial5
	blast	1 11 206 72 16 0 0 45
	dropv	2 0 0
	bbox	74 3 24 135
	loop	0
	offset	76 134
	delay 5
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Tron/enew1.gif
	blast	2 14 204 58 16 0 0 45
	dropv	2 0 0
