name	electox
health	0
type	none
lifespan	6
candamage player npc
alpha	1

anim idle
	loop	0
	delay	4
	offset	59 59
		bbox  0
		attack  7  20  152  88  4
	frame	data/chars/Electricity/Deadpool01930101.gif
	frame	data/chars/Electricity/inv.gif
		offset  59  64
		attack  -1  16  107  97  4
	frame	data/chars/Electricity/Deadpool01930102.gif
	frame	data/chars/Electricity/inv.gif
		offset  75  65
		attack  8  1  140  99  4
	frame	data/chars/Electricity/Deadpool01930103.gif
	frame	data/chars/Electricity/inv.gif
		offset  98  68
		attack  10  9  170  89  4
	frame	data/chars/Electricity/Deadpool01930104.gif
	frame	data/chars/Electricity/inv.gif
		offset  95  65
	frame	data/chars/Electricity/Deadpool01930105.gif
	frame	data/chars/Electricity/inv.gif
		offset  39  60
		attack  5  13  69  84  4
	frame	data/chars/Electricity/Deadpool01930106.gif
	frame	data/chars/Electricity/inv.gif




