name	roper
health	600
type	enemy
gfxshadow 1
gfxshadow 1
speed	10
subtype chase
cantgrab	1
nodrop	1
candamage Enemy Player
icon	  data/chars/roper/icon.gif
iconpain  data/chars/roper/iconP.gif
icondie   data/chars/roper/iconD.gif

anim  spawn
	loop	0
	offset	90 192
	delay	5
	frame	data/chars/roper/idle.gif


anim idle
	loop	1
	offset	90 192
	bbox	75 130 35 70
	delay	9
	frame	data/chars/roper/idle.gif


anim walk
	loop	1
	offset	90 192
	bbox	75 130 35 70
	delay   12
	frame	data/chars/roper/w1.gif
	frame	data/chars/roper/w2.gif
	frame	data/chars/roper/w3.gif
	frame	data/chars/roper/w4.gif

anim burn
	loop	1
	offset	48 111
	delay	3
	frame	data/chars/misc/burn1.gif
	frame	data/chars/misc/burn2.gif
	frame	data/chars/misc/burn3.gif

anim shock
	loop	1
	offset	48 111
	delay	3
	frame	data/chars/misc/ele1.gif
	frame	data/chars/misc/ele2.gif
	frame	data/chars/misc/ele1.gif
	frame	data/chars/misc/ele2.gif


anim pain
	loop	0
	delay	6
	offset	90 192
	bbox	75 130 35 70
        sound   data/chars/fat/fall.wav
        move    -2
	frame	data/chars/roper/pain.gif
	offset  87 192
        move    -2
	frame	data/chars/roper/pain2.gif
	offset  89 192
        move    0
	delay   40
	frame	data/chars/roper/pain.gif




anim fall
	loop	0
	offset	90 192
	delay   30
        sound   data/chars/fat/fall.wav
	frame	data/chars/roper/fall1.gif
	attack  85 125 10 50 5 1 
	frame	data/chars/roper/fall1.gif
	attack  0 0 0 0 0 0 0 0 0
	delay   40
	frame	data/chars/roper/fall4.gif

anim rise
	loop	0
	offset	90 192
	delay	15
	frame	data/chars/roper/rise2.gif
	frame	data/chars/roper/rise2.gif
	frame	data/chars/roper/rise1.gif


anim attack1
	range	0 60
	loop	0
	delay	5
	offset	90 192
	bbox	75 130 35 70
        move    3
	frame	data/chars/roper/a1.gif
        sound   data/chars/roper/a1.wav
	frame	data/chars/roper/a1.gif
	frame	data/chars/roper/a2.gif
	attack  92 140 35 25 5
	frame	data/chars/roper/a3.gif
        move    0
	frame	data/chars/roper/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/roper/a3.gif
	frame	data/chars/roper/a1.gif
	frame	data/chars/roper/a2.gif
        fastattack	1
	attack  92 140 35 25 5
	frame	data/chars/roper/a3.gif
	frame	data/chars/roper/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/roper/a3.gif
	frame	data/chars/roper/a1.gif
	frame	data/chars/roper/a2.gif
	attack  92 140 35 25 5 1
        fastattack	1
	frame	data/chars/roper/a3.gif
	frame	data/chars/roper/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/roper/a3.gif

anim attack2
	range	120 150
	loop	0
	offset	90 192
	bbox	75 130 35 70
	delay	5
	sound   data/sounds/gun.wav
	blast   151 108 808 52 40 1
	frame	data/chars/roper/gun1.gif
	blast   0 0 0 0 0
	frame	data/chars/roper/gun2.gif
	blast   151 108 808 52 40 1
	frame	data/chars/roper/gun1.gif
	blast   0 0 0 0 0
	frame	data/chars/roper/gun2.gif


anim  riseattack
	range	0 60
	loop	0
	delay	5
	offset	90 192
	bbox	75 130 35 70
        move    3
	frame	data/chars/roper/a1.gif
        sound   data/chars/roper/a1.wav
	frame	data/chars/roper/a1.gif
	frame	data/chars/roper/a2.gif
	attack  92 140 35 25 5
	frame	data/chars/roper/a3.gif
        move    0
	frame	data/chars/roper/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/roper/a3.gif
	frame	data/chars/roper/a1.gif
	frame	data/chars/roper/a2.gif
        fastattack	1
	attack  92 140 35 25 5
	frame	data/chars/roper/a3.gif
	frame	data/chars/roper/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/roper/a3.gif
	frame	data/chars/roper/a1.gif
	frame	data/chars/roper/a2.gif
	attack  92 140 35 25 5 1
        fastattack	1
	frame	data/chars/roper/a3.gif
	frame	data/chars/roper/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/roper/a3.gif
