name	butcher
health	30
speed	4
type	enemy
shadow  1
gfxshadow  1
falldie 1
nodieblink 2
aggression 5
aimove chase
icon	data/chars/butcher/icon.png
diesound data/sounds/die1.wav



palette   data/chars/butcher/idle000.png
alternatepal data/chars/butcher/map1.png
alternatepal data/chars/butcher/map2.png





anim	attack1
	loop	0
	delay	10
	offset	55 93
	bbox	30 -7 54 108
	frame	data/chars/butcher/punch000.png
	delay	17
	bbox	41 -2 50 79
	offset	41 85
	attack	77 19 120 21 10 0 0 0 0 0
	frame	data/chars/butcher/punch001.png
		
anim	attack2
	loop	0
	delay	7
	offset	59 126
	bbox	30 38 50 85
	frame	data/chars/butcher/kick0.png
	delay	7
	offset	42 89
	bbox	29 7 50 85
	frame	data/chars/butcher/kick1.png
	delay	20
	offset	49 123
	attack	76 63 90 32 10 0 0 0 0 0
	frame	data/chars/butcher/kick2.png
		
anim	death
	loop	0
	delay	8
	offset	77 120
sound	data/sounds/die13.wav
	frame	data/chars/butcher/die0.png
	offset	86 135
	frame	data/chars/butcher/die1.png
	sound	data/sounds/explo.wav
	offset	99 117
	frame	data/chars/butcher/die2.png
	offset	103 118
	frame	data/chars/butcher/die3.png
	offset	118 66
	frame	data/chars/butcher/die4.png
	offset	118 72
	frame	data/chars/butcher/die5.png
	offset	118 69
	frame	data/chars/butcher/die6.png
	offset	118 33
	frame	data/chars/butcher/die7.png
	offset	118 33
	frame	data/chars/butcher/die8.png
		
anim	fall
	loop	0
	delay	20
	offset	75 107
	frame	data/chars/butcher/fall02.png
	offset	68 87
	frame	data/chars/butcher/fall00.png
	offset	116 31
	frame	data/chars/butcher/fall01.png
		
anim	idle
	loop	1
	offset	39 98
	bbox	17 -2 56 106
	delay	8
	frame	data/chars/butcher/idle000.png
	offset	40 102
	bbox	16 5 49 99
	delay	8
	frame	data/chars/butcher/idle001.png
	offset	39 98
	bbox	16 5 49 99
	delay	8
	frame	data/chars/butcher/idle002.png
		
anim	pain
	loop	0
	offset	49 99
	bbox	36 1 52 103
	delay	12
	frame	data/chars/butcher/pain00.png
		
anim	rise
	loop	0
	delay	15
	offset	36 72
	frame	data/chars/butcher/rise1.png
		
anim	walk
	loop	1
	offset	42 96
	bbox	19 2 50 104
	delay	8
	frame	data/chars/butcher/walk000.png
	offset	32 96
	frame	data/chars/butcher/walk001.png
	offset	31 98
	frame	data/chars/butcher/walk002.png
	offset	34 102
	frame	data/chars/butcher/walk003.png
	offset	32 105
	frame	data/chars/butcher/walk004.png
	offset	32 99
	frame	data/chars/butcher/walk005.png
		
#|edited by openBor Stats v 0.41
		
