music			data/music/select.ogg
#bossmusic		data/music/BOSS01.BOR
panel   		data/bgs/bonus06/n01.gif
background 		data/bgs/bonus06/back.gif
frontpanel		data/bgs/bonus06/f01.gif 
#blocked 1
order	a b c
loadingbg DATA\BGS\BONUS06\LOADING.GIF 1 113 205 91 2000 2000 0

type            	1 0 1
settime		30
notime		0
#noslow		1
stagenumber		3

spawn1  50 20 200
spawn2  40 30 200
spawn3  60 40 200

#direction		both

#-------1

#----------------

spawn	bonus
coords  0 0
flip    1
at      0

#----------------

spawn   barr
alias   Rolling_barrel
health  3
flip    0
coords  504 230
at      0

spawn   barr
alias   Rolling_barrel
health  3
flip    1
coords  -24 190
at      1000

spawn   barr
alias   Rolling_barrel
health  3
flip    0
coords  504 200
at      2000

spawn   barr
alias   Rolling_barrel
health  3
flip    1
coords  -24 220
at      3000


spawn   barr
alias   Rolling_barrel
health  4
flip    0
coords  504 210
at      3800

spawn   barr
alias   Rolling_barrel
health  4
flip    1
coords  -24 200
at      4600

spawn   barr
alias   Rolling_barrel
health  4
flip    0
coords  504 190
at      5400

spawn   barr
alias   Rolling_barrel
health  4
flip    1
coords  -24 230
at      6200









spawn   barr
alias   Rolling_barrel
health  5
flip    0
coords  504 230
at      6800

spawn   barr
alias   Rolling_barrel
health  5
flip    1
coords  -24 190
at      7400

spawn   barr
alias   Rolling_barrel
health  5
flip    0
coords  504 200
at      8000

spawn   barr
alias   Rolling_barrel
health  5
flip    1
coords  -24 220
at      8600


spawn   barr
alias   Rolling_barrel
health  6
flip    0
coords  504 210
at      9000

spawn   barr
alias   Rolling_barrel
health  6
flip    1
coords  -24 200
at      9400

spawn   barr
alias   Rolling_barrel
health  6
flip    0
coords  504 190
at      9800

spawn   barr
alias   Rolling_barrel
health  6
flip    1
coords  -24 230
at      10000








spawn   barr
alias   Rolling_barrel
health  7
flip    0
coords  504 230
at      10100

spawn   barr
alias   Rolling_barrel
health  7
flip    1
coords  -24 190
at      10200

spawn   barr
alias   Rolling_barrel
health  7
flip    0
coords  504 200
at      10300

spawn   barr
alias   Rolling_barrel
health  7
flip    1
coords  -24 220
at      10400


spawn   barr
alias   Rolling_barrel
health  8
flip    0
coords  504 210
at      10500

spawn   barr
alias   Rolling_barrel
health  8
flip    1
coords  -24 200
at      10600

spawn   barr
alias   Rolling_barrel
health  8
flip    0
coords  504 190
at      10700

spawn   barr
alias   Rolling_barrel
health  8
flip    1
coords  -24 230
at      10800



