name	Poisen
health	1
type	none
shadow	0
toflip 1


anim idle
	loop	0
	delay	6
	offset	112 120
		drawmethod  256  256  1  0  0  -1  -1
	frame	data/chars/effects/SludgB0.gif
	frame	data/chars/effects/SludgB1.gif
	frame	data/chars/effects/SludgB2.gif
		offset  112  120
	frame	data/chars/effects/SludgB3.gif
	frame	data/chars/effects/SludgB4.gif
	frame	data/chars/effects/SludgB5.gif
	frame	data/chars/effects/SludgB6.gif
	frame	data/chars/effects/SludgB7.gif
	frame	data/chars/effects/SludgB8.gif
	frame	data/chars/effects/SludgB9.gif
	frame	data/chars/effects/SludgB10.gif

