name	       JuggernautC
health         1000000
type	       enemy
nomove	1

anim	idle
	bbox	13 11 124 123
	offset	56 135
	loop	1
	delay	6
	frame	data/Chars/Juggernaut/idle1.gif
	offset	56 134
	frame	data/Chars/Juggernaut/idle2.gif
	offset	56 133
	frame	data/Chars/Juggernaut/idle3.gif
	frame	data/Chars/Juggernaut/idle4.gif
	frame	data/Chars/Juggernaut/idle5.gif
	frame	data/Chars/Juggernaut/idle6.gif
	offset	55 133
	frame	data/Chars/Juggernaut/idle7.gif
	offset	56 134
	frame	data/Chars/Juggernaut/idle8.gif

anim	pain
	@script
	setglobalvar("npc", "Juggernaut2");
	@end_script
	bbox	13 11 124 123
	loop	0
	offset	70 130
	delay	6
	frame	data/chars/Juggernaut/pain.gif
	@cmd	jumptobranch "B1" 1
	frame	data/chars/Juggernaut/pain.gif

