name	Toxic_Drone
health	100
type	enemy
icon	data/chars/m/icon.gif 1
shadow 	3
#diesound data/sounds/alien.wav
speed 15
cantgrab 1

animationscript data/scripts/script.c

palette       data/chars/PyroDron/Pal

alternatepal  data/chars/PyroDron/PalT

anim idle
	loop	1
	delay	3
	offset	155 131
	bbox	126 62 57 68
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/Idle1.gif

anim fall
	loop	0
	delay	3
        Landframe 11
	offset	155 131
	bbox	126 62 57 68
		attack3  128  94  49  41  10  0  0  0  0  20
	frame	data/chars/PyroDron/Fall0.gif
	offset	155 129
	frame	data/chars/PyroDron/Fall1.gif
	offset	155 127
	frame	data/chars/PyroDron/Fall0.gif
	offset	155 125
	frame	data/chars/PyroDron/Fall1.gif
	offset	155 123
	frame	data/chars/PyroDron/Fall0.gif
	offset	155 121
	frame	data/chars/PyroDron/Fall1.gif
	offset	155 119
	frame	data/chars/PyroDron/Fall0.gif
	offset	155 117
	frame	data/chars/PyroDron/Fall1.gif
	offset	155 115
	frame	data/chars/PyroDron/Fall0.gif
	frame	data/chars/PyroDron/Fall1.gif
	delay	100
		offset  155  113
	frame	data/chars/PyroDron/Fall0.gif
	delay	25
		bbox  0
		Attack1  0
	frame	data/chars/PyroDron/Fall0.gif

anim walk
	loop	1
	delay	3
	offset	155 131
	bbox	126 62 57 68
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/Idle1.gif

anim rise
	loop	0
	offset	155 115
	delay	3
	frame	data/chars/PyroDron/Idle0.gif
	offset	155 115
	frame	data/chars/PyroDron/Idle1.gif
	offset	155 117
	frame	data/chars/PyroDron/Idle0.gif
	offset	155 119
	frame	data/chars/PyroDron/Idle1.gif
	offset	155 121
	frame	data/chars/PyroDron/Idle0.gif
	offset	155 123
	frame	data/chars/PyroDron/Idle1.gif
	offset	155 125
	frame	data/chars/PyroDron/Idle0.gif
	offset	155 127
	frame	data/chars/PyroDron/Idle1.gif
	offset	155 129
	frame	data/chars/PyroDron/Idle0.gif
	offset	155 131
	frame	data/chars/PyroDron/Idle1.gif

anim attack1
	loop	0
	delay	3
        Range   0 200
	offset	155 131
	bbox	126 62 57 68
        move    -6
	@cmd	toss "TDToxic" 30 33 0
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/Idle1.gif
	@cmd	toss "TDToxic" 30 33 0
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/Idle1.gif
	@cmd	toss "TDToxic" 30 33 0
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/Idle1.gif
	@cmd	toss "TDToxic" 30 33 0
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/Idle1.gif
	@cmd	toss "TDToxic" 30 33 0
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/Idle1.gif
	@cmd	toss "TDToxic" 30 33 0
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/Idle1.gif

anim	pain
	loop	0
	offset	155 131
	bbox	126 62 57 68
	delay	3
	quakeframe	0 3 4
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif

anim	pain2
	loop	0
	offset	155 131
	bbox	126 62 57 68
	delay	3
	quakeframe	0 3 4
	Move	-3
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	Move	-2
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	Move	-1
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	Move	0
	delay	3
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif

anim	pain3
	loop	0
	offset	155 131
	bbox	126 62 57 68
	delay	3
	quakeframe	0 3 4
	Move	-5
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	Move	-4
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	Move	-3
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	Move	-2
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	Move	-1
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	Move	0
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	delay	3
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif
	frame	data/chars/PyroDron/Idle0.gif
	frame	data/chars/PyroDron/pain.gif

